year,Jovanna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,5
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,7
1948,0
1949,0
1950,0
1951,0
1952,10
1953,0
1954,0
1955,0
1956,10
1957,0
1958,5
1959,8
1960,0
1961,5
1962,0
1963,8
1964,6
1965,0
1966,0
1967,13
1968,0
1969,5
1970,8
1971,9
1972,6
1973,0
1974,12
1975,14
1976,37
1977,33
1978,47
1979,45
1980,52
1981,45
1982,44
1983,52
1984,61
1985,50
1986,53
1987,72
1988,70
1989,79
1990,77
1991,85
1992,80
1993,136
1994,103
1995,65
1996,67
1997,72
1998,93
1999,77
2000,89
2001,204
2002,132
2003,97
2004,92
2005,64
2006,71
2007,70
2008,73
2009,66
2010,56
2011,45
2012,42
