year,Jerrilyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,5
1937,5
1938,5
1939,5
1940,0
1941,24
1942,86
1943,51
1944,56
1945,38
1946,60
1947,47
1948,31
1949,58
1950,49
1951,39
1952,35
1953,34
1954,38
1955,29
1956,37
1957,22
1958,20
1959,14
1960,25
1961,34
1962,30
1963,22
1964,27
1965,23
1966,14
1967,23
1968,16
1969,21
1970,15
1971,19
1972,10
1973,10
1974,8
1975,11
1976,9
1977,12
1978,7
1979,9
1980,7
1981,8
1982,13
1983,9
1984,7
1985,6
1986,7
1987,7
1988,8
1989,8
1990,9
1991,8
1992,0
1993,6
1994,8
1995,9
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,5
2004,8
2005,0
2006,0
2007,5
2008,0
2009,0
2010,0
2011,6
2012,0
