year,Jannell
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,5
1933,0
1934,0
1935,0
1936,6
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,9
1948,7
1949,5
1950,8
1951,7
1952,6
1953,10
1954,13
1955,11
1956,12
1957,18
1958,14
1959,17
1960,21
1961,9
1962,20
1963,14
1964,14
1965,12
1966,12
1967,19
1968,12
1969,14
1970,22
1971,10
1972,14
1973,19
1974,10
1975,15
1976,17
1977,20
1978,22
1979,17
1980,30
1981,24
1982,19
1983,10
1984,19
1985,12
1986,15
1987,20
1988,9
1989,10
1990,15
1991,20
1992,20
1993,27
1994,19
1995,19
1996,13
1997,16
1998,16
1999,11
2000,9
2001,9
2002,7
2003,7
2004,9
2005,0
2006,9
2007,0
2008,10
2009,9
2010,0
2011,0
2012,5
