year,Jonna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,5
1929,5
1930,6
1931,0
1932,0
1933,0
1934,8
1935,0
1936,9
1937,9
1938,5
1939,12
1940,11
1941,16
1942,23
1943,28
1944,22
1945,34
1946,44
1947,47
1948,36
1949,43
1950,47
1951,50
1952,49
1953,46
1954,53
1955,53
1956,68
1957,65
1958,44
1959,53
1960,72
1961,143
1962,120
1963,260
1964,204
1965,162
1966,121
1967,125
1968,118
1969,124
1970,153
1971,116
1972,111
1973,101
1974,94
1975,114
1976,75
1977,93
1978,89
1979,107
1980,92
1981,98
1982,88
1983,84
1984,82
1985,95
1986,97
1987,82
1988,103
1989,73
1990,95
1991,68
1992,70
1993,66
1994,89
1995,67
1996,43
1997,53
1998,51
1999,55
2000,41
2001,55
2002,55
2003,52
2004,44
2005,34
2006,19
2007,24
2008,27
2009,30
2010,23
2011,22
2012,18
