year,Jacquelynn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,5
1922,5
1923,7
1924,8
1925,11
1926,8
1927,20
1928,18
1929,11
1930,15
1931,10
1932,22
1933,28
1934,15
1935,14
1936,26
1937,16
1938,23
1939,34
1940,32
1941,31
1942,27
1943,49
1944,43
1945,40
1946,42
1947,67
1948,60
1949,54
1950,62
1951,68
1952,76
1953,75
1954,73
1955,62
1956,53
1957,60
1958,52
1959,39
1960,44
1961,78
1962,53
1963,54
1964,55
1965,49
1966,52
1967,31
1968,58
1969,55
1970,56
1971,51
1972,40
1973,42
1974,37
1975,37
1976,35
1977,41
1978,42
1979,56
1980,66
1981,83
1982,81
1983,80
1984,99
1985,104
1986,90
1987,123
1988,118
1989,120
1990,114
1991,100
1992,122
1993,131
1994,109
1995,89
1996,84
1997,77
1998,80
1999,66
2000,70
2001,67
2002,54
2003,63
2004,50
2005,44
2006,47
2007,42
2008,46
2009,35
2010,46
2011,29
2012,25
