year,Jamarr
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,13
1973,17
1974,20
1975,13
1976,28
1977,22
1978,27
1979,29
1980,33
1981,75
1982,72
1983,45
1984,37
1985,38
1986,38
1987,52
1988,54
1989,40
1990,42
1991,46
1992,35
1993,31
1994,16
1995,25
1996,25
1997,25
1998,15
1999,18
2000,20
2001,26
2002,23
2003,26
2004,22
2005,23
2006,31
2007,28
2008,22
2009,29
2010,22
2011,22
2012,25
