year,Jayden (F),Jayden (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000000,0.000000
1918,0.000000,0.000000
1919,0.000000,0.000000
1920,0.000000,0.000000
1921,0.000000,0.000000
1922,0.000000,0.000000
1923,0.000000,0.000000
1924,0.000000,0.000000
1925,0.000000,0.000000
1926,0.000000,0.000000
1927,0.000000,0.000000
1928,0.000000,0.000000
1929,0.000000,0.000000
1930,0.000000,0.000000
1931,0.000000,0.000000
1932,0.000000,0.000000
1933,0.000000,0.000000
1934,0.000000,0.000000
1935,0.000000,0.000000
1936,0.000000,0.000000
1937,0.000000,0.000000
1938,0.000000,0.000000
1939,0.000000,0.000000
1940,0.000000,0.000000
1941,0.000000,0.000000
1942,0.000000,0.000000
1943,0.000000,0.000000
1944,0.000000,0.000000
1945,0.000000,0.000000
1946,0.000000,0.000000
1947,0.000000,0.000000
1948,0.000000,0.000000
1949,0.000000,0.000000
1950,0.000000,0.000000
1951,0.000000,0.000000
1952,0.000000,0.000000
1953,0.000000,0.000000
1954,0.000000,0.000000
1955,0.000000,0.000000
1956,0.000000,0.000000
1957,0.000000,0.000000
1958,0.000000,0.000000
1959,0.000000,0.000000
1960,0.000000,0.000000
1961,0.000000,0.000000
1962,0.000000,0.000000
1963,0.000000,0.000000
1964,0.000000,0.000000
1965,0.000000,0.000000
1966,0.000000,0.000000
1967,0.000000,0.000000
1968,0.000000,0.000000
1969,0.000000,0.000000
1970,0.000000,0.000000
1971,0.000000,0.000000
1972,0.000000,0.000000
1973,0.000000,0.000000
1974,0.000000,0.000000
1975,0.000000,0.000000
1976,0.000000,0.000000
1977,0.000000,0.000002
1978,0.000000,0.000002
1979,0.000000,0.000000
1980,0.000000,0.000000
1981,0.000000,0.000003
1982,0.000000,0.000000
1983,0.000000,0.000002
1984,0.000000,0.000000
1985,0.000000,0.000003
1986,0.000000,0.000004
1987,0.000000,0.000003
1988,0.000000,0.000004
1989,0.000002,0.000006
1990,0.000002,0.000006
1991,0.000003,0.000010
1992,0.000005,0.000012
1993,0.000007,0.000020
1994,0.000018,0.000043
1995,0.000020,0.000065
1996,0.000027,0.000081
1997,0.000049,0.000107
1998,0.000065,0.000169
1999,0.000108,0.000333
2000,0.000143,0.000482
2001,0.000216,0.000757
2002,0.000279,0.001031
2003,0.000354,0.001459
2004,0.000362,0.001813
2005,0.000395,0.002149
2006,0.000428,0.002434
2007,0.000511,0.003816
2008,0.000481,0.004367
2009,0.000462,0.004530
2010,0.000396,0.004654
2011,0.000294,0.004652
2012,0.000226,0.004417
2013,0.000191,0.004057
2014,0.000155,0.003506
2015,0.000120,0.003128
2016,0.000106,0.002766
2017,0.000079,0.002679
2018,0.000077,0.002451
2019,0.000056,0.002294
2020,0.000039,0.002149
