year,Jeannetta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,6
1893,6
1894,0
1895,6
1896,6
1897,5
1898,5
1899,0
1900,8
1901,0
1902,7
1903,5
1904,0
1905,6
1906,10
1907,7
1908,5
1909,9
1910,0
1911,12
1912,9
1913,11
1914,10
1915,14
1916,10
1917,13
1918,18
1919,15
1920,16
1921,19
1922,17
1923,23
1924,17
1925,16
1926,21
1927,22
1928,19
1929,22
1930,17
1931,16
1932,23
1933,18
1934,11
1935,15
1936,16
1937,13
1938,15
1939,23
1940,15
1941,25
1942,20
1943,19
1944,20
1945,20
1946,19
1947,22
1948,28
1949,29
1950,28
1951,22
1952,23
1953,24
1954,26
1955,18
1956,35
1957,18
1958,32
1959,26
1960,22
1961,18
1962,19
1963,18
1964,17
1965,22
1966,21
1967,17
1968,18
1969,17
1970,24
1971,22
1972,18
1973,12
1974,10
1975,13
1976,10
1977,13
1978,17
1979,13
1980,16
1981,13
1982,9
1983,10
1984,7
1985,10
1986,12
1987,17
1988,7
1989,5
1990,0
1991,7
1992,12
1993,6
1994,0
1995,7
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
