year,Jefferson (F),Jefferson (M)
1880,0.000000,0.000213
1881,0.000000,0.000161
1882,0.000000,0.000153
1883,0.000000,0.000147
1884,0.000000,0.000160
1885,0.000000,0.000158
1886,0.000000,0.000133
1887,0.000000,0.000129
1888,0.000000,0.000110
1889,0.000000,0.000135
1890,0.000000,0.000129
1891,0.000000,0.000140
1892,0.000000,0.000120
1893,0.000000,0.000077
1894,0.000000,0.000089
1895,0.000000,0.000080
1896,0.000000,0.000064
1897,0.000000,0.000049
1898,0.000000,0.000100
1899,0.000000,0.000032
1900,0.000000,0.000053
1901,0.000000,0.000078
1902,0.000000,0.000062
1903,0.000000,0.000052
1904,0.000000,0.000052
1905,0.000000,0.000052
1906,0.000000,0.000058
1907,0.000000,0.000069
1908,0.000000,0.000051
1909,0.000000,0.000047
1910,0.000000,0.000042
1911,0.000000,0.000073
1912,0.000000,0.000065
1913,0.000000,0.000081
1914,0.000000,0.000074
1915,0.000000,0.000082
1916,0.000000,0.000056
1917,0.000000,0.000076
1918,0.000000,0.000069
1919,0.000000,0.000070
1920,0.000000,0.000068
1921,0.000000,0.000069
1922,0.000000,0.000070
1923,0.000000,0.000069
1924,0.000000,0.000074
1925,0.000000,0.000061
1926,0.000000,0.000062
1927,0.000000,0.000056
1928,0.000000,0.000048
1929,0.000000,0.000043
1930,0.000000,0.000045
1931,0.000000,0.000051
1932,0.000000,0.000056
1933,0.000000,0.000043
1934,0.000000,0.000051
1935,0.000000,0.000048
1936,0.000000,0.000032
1937,0.000000,0.000034
1938,0.000000,0.000028
1939,0.000000,0.000040
1940,0.000000,0.000044
1941,0.000000,0.000043
1942,0.000000,0.000037
1943,0.000000,0.000035
1944,0.000000,0.000044
1945,0.000000,0.000040
1946,0.000000,0.000038
1947,0.000000,0.000038
1948,0.000000,0.000036
1949,0.000000,0.000038
1950,0.000000,0.000042
1951,0.000000,0.000043
1952,0.000000,0.000041
1953,0.000000,0.000040
1954,0.000000,0.000044
1955,0.000000,0.000049
1956,0.000000,0.000039
1957,0.000000,0.000038
1958,0.000000,0.000046
1959,0.000000,0.000056
1960,0.000000,0.000042
1961,0.000000,0.000054
1962,0.000000,0.000053
1963,0.000000,0.000045
1964,0.000000,0.000053
1965,0.000000,0.000047
1966,0.000000,0.000054
1967,0.000000,0.000061
1968,0.000000,0.000063
1969,0.000000,0.000071
1970,0.000000,0.000077
1971,0.000000,0.000078
1972,0.000000,0.000074
1973,0.000000,0.000095
1974,0.000000,0.000077
1975,0.000000,0.000059
1976,0.000000,0.000064
1977,0.000000,0.000051
1978,0.000000,0.000052
1979,0.000000,0.000053
1980,0.000000,0.000051
1981,0.000000,0.000052
1982,0.000000,0.000045
1983,0.000000,0.000040
1984,0.000000,0.000046
1985,0.000000,0.000047
1986,0.000000,0.000043
1987,0.000000,0.000040
1988,0.000000,0.000046
1989,0.000000,0.000048
1990,0.000000,0.000052
1991,0.000000,0.000057
1992,0.000000,0.000055
1993,0.000000,0.000071
1994,0.000000,0.000061
1995,0.000000,0.000066
1996,0.000000,0.000064
1997,0.000000,0.000065
1998,0.000000,0.000062
1999,0.000000,0.000078
2000,0.000000,0.000064
2001,0.000000,0.000060
2002,0.000000,0.000068
2003,0.000000,0.000066
2004,0.000000,0.000081
2005,0.000000,0.000091
2006,0.000000,0.000091
2007,0.000000,0.000104
2008,0.000000,0.000107
2009,0.000000,0.000117
2010,0.000000,0.000099
2011,0.000000,0.000089
2012,0.000000,0.000108
2013,0.000000,0.000114
