year,Joeann
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,6
1918,0
1919,0
1920,0
1921,8
1922,0
1923,5
1924,7
1925,10
1926,17
1927,11
1928,15
1929,11
1930,21
1931,24
1932,32
1933,25
1934,37
1935,31
1936,22
1937,31
1938,33
1939,33
1940,23
1941,40
1942,29
1943,34
1944,34
1945,32
1946,31
1947,18
1948,26
1949,31
1950,30
1951,18
1952,25
1953,19
1954,21
1955,22
1956,23
1957,18
1958,15
1959,24
1960,24
1961,21
1962,23
1963,14
1964,13
1965,17
1966,17
1967,14
1968,15
1969,10
1970,8
1971,6
1972,13
1973,8
1974,5
1975,12
1976,10
1977,14
1978,9
1979,9
1980,9
1981,9
1982,13
1983,7
1984,6
1985,7
1986,9
1987,5
1988,8
1989,0
1990,7
1991,5
1992,7
1993,7
1994,0
1995,8
1996,5
1997,5
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,6
2006,5
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
