year,Jacquetta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,5
1917,5
1918,0
1919,6
1920,9
1921,8
1922,7
1923,9
1924,11
1925,8
1926,13
1927,15
1928,8
1929,11
1930,16
1931,8
1932,10
1933,6
1934,14
1935,5
1936,11
1937,7
1938,19
1939,14
1940,12
1941,10
1942,14
1943,12
1944,9
1945,7
1946,9
1947,19
1948,16
1949,11
1950,19
1951,26
1952,21
1953,17
1954,29
1955,17
1956,31
1957,17
1958,34
1959,18
1960,21
1961,17
1962,19
1963,25
1964,32
1965,23
1966,20
1967,30
1968,28
1969,29
1970,28
1971,39
1972,43
1973,32
1974,33
1975,31
1976,35
1977,35
1978,27
1979,34
1980,36
1981,33
1982,43
1983,31
1984,37
1985,39
1986,40
1987,37
1988,55
1989,41
1990,35
1991,23
1992,17
1993,11
1994,20
1995,11
1996,10
1997,7
1998,13
1999,0
2000,7
2001,0
2002,5
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
