year,Jacquiline
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,6
1928,0
1929,0
1930,8
1931,6
1932,5
1933,0
1934,0
1935,5
1936,0
1937,5
1938,5
1939,0
1940,0
1941,7
1942,0
1943,7
1944,6
1945,5
1946,5
1947,0
1948,7
1949,5
1950,14
1951,12
1952,13
1953,10
1954,17
1955,12
1956,9
1957,6
1958,10
1959,9
1960,9
1961,23
1962,23
1963,19
1964,29
1965,27
1966,17
1967,14
1968,19
1969,15
1970,13
1971,13
1972,13
1973,12
1974,11
1975,10
1976,7
1977,11
1978,8
1979,7
1980,12
1981,9
1982,19
1983,6
1984,16
1985,10
1986,17
1987,16
1988,13
1989,13
1990,6
1991,11
1992,9
1993,11
1994,12
1995,8
1996,9
1997,8
1998,6
1999,0
2000,0
2001,0
2002,5
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
