year,Jacqulyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,8
1924,13
1925,14
1926,14
1927,22
1928,11
1929,28
1930,48
1931,28
1932,29
1933,46
1934,43
1935,37
1936,43
1937,38
1938,39
1939,42
1940,27
1941,38
1942,42
1943,42
1944,46
1945,41
1946,58
1947,62
1948,73
1949,70
1950,79
1951,73
1952,95
1953,76
1954,77
1955,75
1956,76
1957,49
1958,60
1959,56
1960,50
1961,62
1962,48
1963,44
1964,60
1965,59
1966,32
1967,45
1968,39
1969,30
1970,40
1971,43
1972,32
1973,36
1974,27
1975,27
1976,24
1977,51
1978,64
1979,91
1980,52
1981,80
1982,87
1983,87
1984,79
1985,67
1986,60
1987,90
1988,53
1989,70
1990,60
1991,63
1992,45
1993,58
1994,56
1995,46
1996,41
1997,29
1998,24
1999,24
2000,27
2001,28
2002,21
2003,22
2004,13
2005,10
2006,10
2007,6
2008,6
2009,5
2010,7
2011,5
2012,0
