year,Justo
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,5
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,5
1911,8
1912,7
1913,6
1914,10
1915,10
1916,7
1917,0
1918,7
1919,11
1920,13
1921,14
1922,11
1923,10
1924,9
1925,16
1926,6
1927,7
1928,8
1929,8
1930,14
1931,12
1932,15
1933,10
1934,5
1935,8
1936,9
1937,5
1938,11
1939,6
1940,14
1941,13
1942,10
1943,21
1944,8
1945,15
1946,12
1947,14
1948,12
1949,8
1950,14
1951,24
1952,11
1953,11
1954,13
1955,14
1956,16
1957,14
1958,20
1959,16
1960,19
1961,14
1962,19
1963,17
1964,19
1965,20
1966,24
1967,19
1968,24
1969,17
1970,17
1971,19
1972,17
1973,22
1974,25
1975,21
1976,29
1977,18
1978,26
1979,19
1980,27
1981,28
1982,27
1983,18
1984,23
1985,26
1986,31
1987,20
1988,19
1989,29
1990,25
1991,28
1992,15
1993,19
1994,24
1995,17
1996,22
1997,19
1998,29
1999,20
2000,19
2001,17
2002,17
2003,7
2004,16
2005,19
2006,19
2007,15
2008,15
2009,8
2010,7
2011,9
2012,11
