year,Johnetta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,6
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,7
1909,6
1910,0
1911,0
1912,11
1913,0
1914,13
1915,14
1916,7
1917,18
1918,11
1919,20
1920,15
1921,22
1922,14
1923,21
1924,21
1925,15
1926,23
1927,25
1928,19
1929,16
1930,20
1931,14
1932,21
1933,22
1934,19
1935,20
1936,23
1937,27
1938,22
1939,32
1940,32
1941,18
1942,49
1943,42
1944,41
1945,47
1946,43
1947,54
1948,54
1949,57
1950,59
1951,59
1952,69
1953,59
1954,52
1955,49
1956,62
1957,49
1958,61
1959,62
1960,57
1961,60
1962,49
1963,34
1964,65
1965,70
1966,57
1967,51
1968,22
1969,40
1970,66
1971,49
1972,46
1973,61
1974,35
1975,26
1976,37
1977,49
1978,46
1979,48
1980,34
1981,42
1982,38
1983,45
1984,44
1985,45
1986,32
1987,43
1988,39
1989,42
1990,28
1991,35
1992,28
1993,24
1994,26
1995,23
1996,15
1997,10
1998,20
1999,15
2000,14
2001,6
2002,8
2003,0
2004,0
2005,10
2006,8
2007,11
2008,0
2009,5
2010,0
2011,0
2012,0
