year,Jacquelynne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,5
1926,0
1927,5
1928,0
1929,10
1930,0
1931,0
1932,6
1933,0
1934,7
1935,9
1936,14
1937,8
1938,12
1939,12
1940,8
1941,7
1942,9
1943,18
1944,16
1945,14
1946,16
1947,16
1948,8
1949,10
1950,21
1951,12
1952,12
1953,10
1954,14
1955,7
1956,19
1957,7
1958,12
1959,6
1960,9
1961,12
1962,13
1963,8
1964,11
1965,5
1966,11
1967,11
1968,17
1969,9
1970,17
1971,10
1972,8
1973,11
1974,7
1975,7
1976,10
1977,0
1978,12
1979,10
1980,11
1981,9
1982,9
1983,9
1984,12
1985,15
1986,6
1987,16
1988,20
1989,13
1990,24
1991,20
1992,21
1993,21
1994,14
1995,20
1996,9
1997,8
1998,17
1999,8
2000,17
2001,7
2002,5
2003,8
2004,0
2005,8
2006,7
2007,0
2008,0
2009,6
2010,0
2011,0
2012,0
