year,Jamilah
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,6
1966,6
1967,0
1968,5
1969,5
1970,11
1971,12
1972,19
1973,19
1974,22
1975,27
1976,51
1977,79
1978,57
1979,67
1980,37
1981,40
1982,49
1983,42
1984,44
1985,62
1986,54
1987,49
1988,46
1989,51
1990,45
1991,46
1992,59
1993,70
1994,59
1995,53
1996,42
1997,53
1998,43
1999,62
2000,43
2001,57
2002,43
2003,33
2004,40
2005,42
2006,45
2007,43
2008,43
2009,53
2010,37
2011,56
2012,48
