year,Justine (F),Justine (M)
1880,0.000000,0.000000
1881,0.000042,0.000000
1882,0.000000,0.000000
1883,0.000028,0.000000
1884,0.000021,0.000000
1885,0.000025,0.000000
1886,0.000027,0.000000
1887,0.000053,0.000000
1888,0.000000,0.000000
1889,0.000035,0.000000
1890,0.000060,0.000000
1891,0.000042,0.000000
1892,0.000039,0.000000
1893,0.000034,0.000000
1894,0.000044,0.000000
1895,0.000046,0.000000
1896,0.000056,0.000000
1897,0.000035,0.000000
1898,0.000055,0.000000
1899,0.000050,0.000000
1900,0.000071,0.000000
1901,0.000075,0.000000
1902,0.000059,0.000000
1903,0.000039,0.000000
1904,0.000040,0.000000
1905,0.000059,0.000000
1906,0.000086,0.000000
1907,0.000069,0.000000
1908,0.000068,0.000000
1909,0.000067,0.000000
1910,0.000059,0.000000
1911,0.000068,0.000000
1912,0.000068,0.000000
1913,0.000067,0.000000
1914,0.000061,0.000000
1915,0.000084,0.000000
1916,0.000082,0.000000
1917,0.000079,0.000000
1918,0.000075,0.000000
1919,0.000067,0.000000
1920,0.000076,0.000000
1921,0.000107,0.000003
1922,0.000086,0.000003
1923,0.000075,0.000003
1924,0.000076,0.000000
1925,0.000076,0.000002
1926,0.000069,0.000000
1927,0.000075,0.000000
1928,0.000063,0.000004
1929,0.000060,0.000000
1930,0.000060,0.000003
1931,0.000059,0.000000
1932,0.000059,0.000000
1933,0.000066,0.000000
1934,0.000062,0.000002
1935,0.000045,0.000000
1936,0.000048,0.000000
1937,0.000051,0.000000
1938,0.000077,0.000000
1939,0.000053,0.000000
1940,0.000060,0.000000
1941,0.000060,0.000000
1942,0.000044,0.000000
1943,0.000052,0.000000
1944,0.000043,0.000000
1945,0.000046,0.000000
1946,0.000045,0.000000
1947,0.000038,0.000002
1948,0.000036,0.000000
1949,0.000038,0.000000
1950,0.000035,0.000000
1951,0.000032,0.000000
1952,0.000031,0.000000
1953,0.000033,0.000000
1954,0.000025,0.000000
1955,0.000026,0.000000
1956,0.000026,0.000000
1957,0.000026,0.000000
1958,0.000061,0.000000
1959,0.000053,0.000000
1960,0.000052,0.000000
1961,0.000055,0.000000
1962,0.000076,0.000000
1963,0.000078,0.000001
1964,0.000086,0.000000
1965,0.000088,0.000000
1966,0.000104,0.000001
1967,0.000085,0.000002
1968,0.000083,0.000002
1969,0.000102,0.000000
1970,0.000114,0.000002
1971,0.000101,0.000003
1972,0.000101,0.000006
1973,0.000089,0.000006
1974,0.000083,0.000005
1975,0.000079,0.000004
1976,0.000066,0.000011
1977,0.000066,0.000013
1978,0.000068,0.000015
1979,0.000084,0.000013
1980,0.000095,0.000015
1981,0.000089,0.000021
1982,0.000089,0.000024
1983,0.000151,0.000027
1984,0.000191,0.000027
1985,0.000263,0.000028
1986,0.000354,0.000032
1987,0.000440,0.000035
1988,0.000431,0.000043
1989,0.000407,0.000037
1990,0.000396,0.000029
1991,0.000344,0.000025
1992,0.000327,0.000023
1993,0.000319,0.000021
1994,0.000312,0.000019
1995,0.000261,0.000017
1996,0.000300,0.000013
1997,0.000271,0.000013
1998,0.000205,0.000013
1999,0.000162,0.000008
2000,0.000154,0.000008
2001,0.000129,0.000011
2002,0.000121,0.000008
2003,0.000122,0.000008
2004,0.000107,0.000006
2005,0.000084,0.000009
2006,0.000069,0.000009
2007,0.000073,0.000006
2008,0.000074,0.000005
2009,0.000055,0.000005
2010,0.000048,0.000004
2011,0.000047,0.000004
2012,0.000037,0.000003
2013,0.000033,0.000003
