year,Johnita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,5
1925,0
1926,0
1927,5
1928,0
1929,0
1930,0
1931,0
1932,0
1933,5
1934,0
1935,0
1936,0
1937,0
1938,7
1939,5
1940,5
1941,5
1942,5
1943,8
1944,0
1945,9
1946,5
1947,5
1948,9
1949,7
1950,8
1951,12
1952,9
1953,14
1954,15
1955,0
1956,10
1957,12
1958,7
1959,6
1960,12
1961,9
1962,18
1963,17
1964,14
1965,21
1966,16
1967,12
1968,9
1969,9
1970,8
1971,12
1972,10
1973,5
1974,13
1975,9
1976,12
1977,17
1978,13
1979,15
1980,9
1981,11
1982,8
1983,9
1984,14
1985,13
1986,11
1987,16
1988,9
1989,9
1990,10
1991,13
1992,10
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,5
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
