year,Jeanene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,6
1929,39
1930,31
1931,25
1932,32
1933,40
1934,31
1935,35
1936,47
1937,41
1938,46
1939,41
1940,36
1941,36
1942,31
1943,41
1944,26
1945,30
1946,47
1947,34
1948,30
1949,31
1950,40
1951,48
1952,38
1953,47
1954,39
1955,41
1956,52
1957,40
1958,38
1959,80
1960,89
1961,75
1962,65
1963,56
1964,49
1965,54
1966,53
1967,60
1968,45
1969,61
1970,87
1971,38
1972,48
1973,40
1974,44
1975,35
1976,27
1977,35
1978,17
1979,27
1980,22
1981,24
1982,21
1983,13
1984,11
1985,17
1986,10
1987,13
1988,11
1989,19
1990,11
1991,7
1992,5
1993,6
1994,5
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,6
2010,0
2011,0
2012,0
