year,Jeanelle
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,5
1915,0
1916,0
1917,0
1918,5
1919,8
1920,6
1921,10
1922,0
1923,5
1924,11
1925,12
1926,6
1927,8
1928,11
1929,12
1930,18
1931,20
1932,10
1933,11
1934,13
1935,13
1936,17
1937,11
1938,18
1939,21
1940,15
1941,14
1942,12
1943,13
1944,15
1945,23
1946,17
1947,16
1948,10
1949,17
1950,18
1951,11
1952,23
1953,16
1954,13
1955,14
1956,15
1957,17
1958,13
1959,12
1960,18
1961,22
1962,26
1963,19
1964,25
1965,19
1966,16
1967,17
1968,15
1969,24
1970,22
1971,32
1972,26
1973,29
1974,21
1975,23
1976,21
1977,35
1978,39
1979,44
1980,32
1981,49
1982,41
1983,35
1984,41
1985,33
1986,27
1987,38
1988,39
1989,35
1990,34
1991,30
1992,31
1993,28
1994,27
1995,21
1996,28
1997,30
1998,44
1999,22
2000,18
2001,26
2002,28
2003,31
2004,27
2005,19
2006,44
2007,39
2008,31
2009,20
2010,24
2011,35
2012,28
