year,Julio (F),Julio (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000020
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000015
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000029
1904,0.000000,0.000017
1905,0.000000,0.000021
1906,0.000000,0.000021
1907,0.000000,0.000015
1908,0.000000,0.000031
1909,0.000000,0.000033
1910,0.000000,0.000022
1911,0.000000,0.000037
1912,0.000000,0.000024
1913,0.000000,0.000040
1914,0.000000,0.000032
1915,0.000000,0.000038
1916,0.000000,0.000039
1917,0.000000,0.000039
1918,0.000000,0.000041
1919,0.000000,0.000047
1920,0.000000,0.000043
1921,0.000000,0.000051
1922,0.000000,0.000052
1923,0.000005,0.000059
1924,0.000000,0.000061
1925,0.000002,0.000060
1926,0.000000,0.000058
1927,0.000003,0.000064
1928,0.000003,0.000059
1929,0.000000,0.000066
1930,0.000002,0.000071
1931,0.000000,0.000062
1932,0.000000,0.000059
1933,0.000000,0.000050
1934,0.000000,0.000052
1935,0.000000,0.000048
1936,0.000000,0.000040
1937,0.000000,0.000055
1938,0.000000,0.000044
1939,0.000000,0.000040
1940,0.000000,0.000050
1941,0.000000,0.000039
1942,0.000000,0.000037
1943,0.000002,0.000044
1944,0.000000,0.000035
1945,0.000000,0.000053
1946,0.000000,0.000042
1947,0.000000,0.000037
1948,0.000000,0.000052
1949,0.000000,0.000051
1950,0.000000,0.000055
1951,0.000002,0.000052
1952,0.000000,0.000065
1953,0.000000,0.000066
1954,0.000000,0.000063
1955,0.000001,0.000064
1956,0.000000,0.000069
1957,0.000000,0.000072
1958,0.000001,0.000073
1959,0.000000,0.000070
1960,0.000002,0.000083
1961,0.000001,0.000081
1962,0.000000,0.000084
1963,0.000000,0.000102
1964,0.000000,0.000101
1965,0.000000,0.000104
1966,0.000001,0.000101
1967,0.000002,0.000137
1968,0.000000,0.000138
1969,0.000000,0.000167
1970,0.000003,0.000178
1971,0.000002,0.000177
1972,0.000003,0.000195
1973,0.000002,0.000216
1974,0.000002,0.000239
1975,0.000004,0.000253
1976,0.000002,0.000250
1977,0.000003,0.000226
1978,0.000004,0.000234
1979,0.000004,0.000248
1980,0.000003,0.000231
1981,0.000001,0.000257
1982,0.000003,0.000237
1983,0.000004,0.000222
1984,0.000005,0.000271
1985,0.000004,0.000249
1986,0.000003,0.000279
1987,0.000002,0.000280
1988,0.000004,0.000277
1989,0.000004,0.000309
1990,0.000002,0.000393
1991,0.000005,0.000388
1992,0.000005,0.000402
1993,0.000003,0.000386
1994,0.000002,0.000354
1995,0.000003,0.000351
1996,0.000003,0.000397
1997,0.000002,0.000355
1998,0.000001,0.000324
1999,0.000000,0.000336
2000,0.000002,0.000346
2001,0.000001,0.000352
2002,0.000000,0.000341
2003,0.000002,0.000305
2004,0.000000,0.000320
2005,0.000002,0.000394
2006,0.000000,0.000358
2007,0.000000,0.000327
2008,0.000000,0.000305
2009,0.000000,0.000277
2010,0.000000,0.000251
2011,0.000000,0.000224
2012,0.000000,0.000212
2013,0.000000,0.000197
2014,0.000000,0.000177
2015,0.000000,0.000180
2016,0.000000,0.000171
2017,0.000000,0.000163
2018,0.000000,0.000154
2019,0.000000,0.000156
2020,0.000000,0.000156
