year,Joelene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,5
1928,6
1929,0
1930,0
1931,6
1932,6
1933,13
1934,7
1935,13
1936,9
1937,7
1938,5
1939,8
1940,6
1941,10
1942,11
1943,11
1944,5
1945,12
1946,7
1947,11
1948,17
1949,11
1950,17
1951,16
1952,15
1953,13
1954,12
1955,12
1956,24
1957,13
1958,13
1959,13
1960,12
1961,18
1962,11
1963,16
1964,11
1965,18
1966,13
1967,12
1968,10
1969,11
1970,15
1971,6
1972,12
1973,12
1974,34
1975,37
1976,21
1977,33
1978,26
1979,22
1980,15
1981,22
1982,34
1983,27
1984,16
1985,12
1986,15
1987,27
1988,18
1989,17
1990,11
1991,9
1992,10
1993,17
1994,9
1995,8
1996,10
1997,17
1998,6
1999,6
2000,12
2001,14
2002,0
2003,6
2004,7
2005,13
2006,11
2007,0
2008,6
2009,9
2010,11
2011,0
2012,8
