year,Juliet
1880,10
1881,9
1882,7
1883,10
1884,13
1885,9
1886,24
1887,11
1888,12
1889,7
1890,15
1891,6
1892,11
1893,11
1894,16
1895,20
1896,22
1897,19
1898,15
1899,17
1900,16
1901,17
1902,23
1903,15
1904,21
1905,16
1906,24
1907,34
1908,30
1909,30
1910,24
1911,41
1912,42
1913,49
1914,74
1915,66
1916,99
1917,85
1918,100
1919,81
1920,95
1921,83
1922,78
1923,90
1924,92
1925,76
1926,88
1927,68
1928,67
1929,66
1930,50
1931,59
1932,63
1933,46
1934,38
1935,53
1936,43
1937,73
1938,84
1939,69
1940,80
1941,88
1942,78
1943,82
1944,89
1945,64
1946,91
1947,80
1948,81
1949,90
1950,94
1951,92
1952,94
1953,103
1954,126
1955,122
1956,124
1957,153
1958,132
1959,153
1960,172
1961,196
1962,245
1963,215
1964,200
1965,205
1966,193
1967,185
1968,182
1969,291
1970,393
1971,370
1972,256
1973,245
1974,203
1975,218
1976,158
1977,141
1978,154
1979,177
1980,182
1981,179
1982,171
1983,165
1984,127
1985,168
1986,139
1987,146
1988,146
1989,181
1990,156
1991,174
1992,168
1993,166
1994,176
1995,171
1996,244
1997,365
1998,397
1999,396
2000,405
2001,460
2002,428
2003,452
2004,422
2005,484
2006,503
2007,608
2008,697
2009,1021
2010,1141
2011,1273
2012,1268
