year,John (F),John (M)
1880,0.000228,0.047919
1881,0.000135,0.045508
1882,0.000181,0.043140
1883,0.000184,0.040997
1884,0.000164,0.038561
1885,0.000187,0.036354
1886,0.000188,0.035352
1887,0.000226,0.032782
1888,0.000174,0.030878
1889,0.000180,0.029583
1890,0.000186,0.028208
1891,0.000153,0.026790
1892,0.000161,0.027033
1893,0.000188,0.024749
1894,0.000177,0.024323
1895,0.000174,0.023702
1896,0.000140,0.022765
1897,0.000133,0.021761
1898,0.000144,0.021389
1899,0.000118,0.020605
1900,0.000102,0.021829
1901,0.000113,0.019953
1902,0.000098,0.020446
1903,0.000108,0.019958
1904,0.000099,0.020095
1905,0.000101,0.019010
1906,0.000100,0.019288
1907,0.000140,0.019302
1908,0.000119,0.019118
1909,0.000131,0.018761
1910,0.000149,0.019383
1911,0.000106,0.020870
1912,0.000113,0.024884
1913,0.000107,0.025793
1914,0.000119,0.026793
1915,0.000109,0.025963
1916,0.000117,0.025870
1917,0.000126,0.025839
1918,0.000114,0.026051
1919,0.000145,0.025364
1920,0.000124,0.025154
1921,0.000122,0.024937
1922,0.000124,0.025022
1923,0.000145,0.024959
1924,0.000160,0.024795
1925,0.000157,0.024514
1926,0.000168,0.024437
1927,0.000190,0.024125
1928,0.000188,0.023776
1929,0.000187,0.023772
1930,0.000181,0.023586
1931,0.000154,0.023013
1932,0.000141,0.023030
1933,0.000113,0.023119
1934,0.000124,0.022506
1935,0.000100,0.022729
1936,0.000098,0.022949
1937,0.000102,0.022881
1938,0.000098,0.022835
1939,0.000103,0.023155
1940,0.000090,0.023791
1941,0.000091,0.023610
1942,0.000088,0.024173
1943,0.000081,0.024419
1944,0.000067,0.024766
1945,0.000074,0.024924
1946,0.000065,0.024805
1947,0.000056,0.024518
1948,0.000056,0.023993
1949,0.000057,0.023293
1950,0.000051,0.022671
1951,0.000055,0.022144
1952,0.000052,0.021889
1953,0.000043,0.020804
1954,0.000046,0.020395
1955,0.000046,0.019954
1956,0.000054,0.019599
1957,0.000053,0.018807
1958,0.000050,0.018391
1959,0.000056,0.018381
1960,0.000058,0.018315
1961,0.000067,0.019306
1962,0.000071,0.019433
1963,0.000066,0.019863
1964,0.000068,0.021231
1965,0.000070,0.019729
1966,0.000082,0.018709
1967,0.000085,0.018150
1968,0.000090,0.018030
1969,0.000083,0.016908
1970,0.000080,0.016226
1971,0.000079,0.015009
1972,0.000071,0.013737
1973,0.000076,0.012985
1974,0.000084,0.012378
1975,0.000076,0.011620
1976,0.000069,0.011204
1977,0.000069,0.010772
1978,0.000070,0.010721
1979,0.000073,0.010647
1980,0.000073,0.010242
1981,0.000056,0.010083
1982,0.000067,0.009895
1983,0.000077,0.009575
1984,0.000068,0.009353
1985,0.000065,0.008827
1986,0.000062,0.008494
1987,0.000055,0.008196
1988,0.000045,0.007962
1989,0.000035,0.007766
1990,0.000020,0.007360
1991,0.000016,0.007138
1992,0.000015,0.006834
1993,0.000018,0.006630
1994,0.000013,0.006506
1995,0.000012,0.006347
1996,0.000010,0.006083
1997,0.000008,0.005899
1998,0.000007,0.005609
1999,0.000011,0.005511
2000,0.000007,0.005319
2001,0.000009,0.005048
2002,0.000006,0.004672
2003,0.000008,0.004534
2004,0.000019,0.004307
2005,0.000010,0.004104
2006,0.000009,0.003836
2007,0.000006,0.003612
2008,0.000006,0.003391
2009,0.000003,0.003176
2010,0.000003,0.003130
2011,0.000006,0.003026
2012,0.000003,0.002909
2013,0.000004,0.002943
2014,0.000004,0.002889
2015,0.000003,0.002814
2016,0.000003,0.002740
2017,0.000003,0.002663
2018,0.000004,0.002616
2019,0.000004,0.002550
2020,0.000003,0.002475
