year,Jacinda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,9
1963,34
1964,34
1965,31
1966,41
1967,54
1968,49
1969,63
1970,63
1971,93
1972,86
1973,91
1974,94
1975,83
1976,59
1977,80
1978,84
1979,89
1980,71
1981,87
1982,71
1983,84
1984,74
1985,82
1986,93
1987,91
1988,80
1989,88
1990,88
1991,105
1992,114
1993,105
1994,79
1995,121
1996,169
1997,139
1998,131
1999,125
2000,101
2001,89
2002,107
2003,78
2004,67
2005,64
2006,85
2007,74
2008,55
2009,49
2010,41
2011,32
2012,43
