year,Jacqualine
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,6
1923,0
1924,8
1925,15
1926,8
1927,15
1928,18
1929,18
1930,19
1931,21
1932,21
1933,12
1934,19
1935,29
1936,27
1937,25
1938,34
1939,22
1940,28
1941,30
1942,37
1943,39
1944,37
1945,33
1946,45
1947,37
1948,51
1949,57
1950,44
1951,58
1952,51
1953,56
1954,35
1955,40
1956,47
1957,31
1958,36
1959,25
1960,28
1961,46
1962,49
1963,55
1964,70
1965,55
1966,52
1967,49
1968,48
1969,35
1970,39
1971,42
1972,21
1973,24
1974,25
1975,20
1976,27
1977,23
1978,25
1979,16
1980,24
1981,19
1982,27
1983,25
1984,32
1985,33
1986,20
1987,30
1988,28
1989,28
1990,28
1991,18
1992,23
1993,21
1994,16
1995,14
1996,20
1997,12
1998,11
1999,7
2000,16
2001,9
2002,5
2003,5
2004,6
2005,8
2006,0
2007,0
2008,7
2009,0
2010,6
2011,0
2012,0
