year,Johnnye
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,6
1908,5
1909,0
1910,0
1911,6
1912,0
1913,8
1914,10
1915,15
1916,16
1917,16
1918,16
1919,24
1920,29
1921,18
1922,22
1923,27
1924,23
1925,29
1926,19
1927,19
1928,24
1929,15
1930,16
1931,20
1932,21
1933,30
1934,27
1935,31
1936,18
1937,14
1938,19
1939,18
1940,19
1941,24
1942,14
1943,21
1944,17
1945,23
1946,23
1947,31
1948,28
1949,16
1950,14
1951,11
1952,12
1953,11
1954,10
1955,7
1956,0
1957,10
1958,0
1959,9
1960,0
1961,13
1962,5
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
