year,Jenell
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,5
1917,0
1918,6
1919,7
1920,8
1921,10
1922,7
1923,8
1924,7
1925,13
1926,11
1927,11
1928,9
1929,20
1930,14
1931,9
1932,23
1933,10
1934,17
1935,15
1936,21
1937,19
1938,30
1939,29
1940,24
1941,26
1942,17
1943,19
1944,23
1945,18
1946,36
1947,27
1948,28
1949,21
1950,29
1951,23
1952,25
1953,31
1954,25
1955,27
1956,41
1957,31
1958,32
1959,33
1960,28
1961,27
1962,39
1963,36
1964,41
1965,31
1966,41
1967,40
1968,49
1969,46
1970,45
1971,54
1972,50
1973,69
1974,47
1975,43
1976,63
1977,65
1978,65
1979,77
1980,90
1981,92
1982,77
1983,74
1984,65
1985,61
1986,61
1987,70
1988,55
1989,38
1990,47
1991,40
1992,37
1993,30
1994,38
1995,29
1996,26
1997,20
1998,20
1999,15
2000,18
2001,13
2002,15
2003,19
2004,14
2005,19
2006,17
2007,17
2008,22
2009,19
2010,11
2011,17
2012,20
