year,Jade (F),Jade (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000000,0.000000
1918,0.000000,0.000000
1919,0.000000,0.000000
1920,0.000000,0.000000
1921,0.000000,0.000000
1922,0.000000,0.000000
1923,0.000000,0.000000
1924,0.000000,0.000000
1925,0.000000,0.000000
1926,0.000000,0.000000
1927,0.000000,0.000000
1928,0.000000,0.000000
1929,0.000000,0.000000
1930,0.000000,0.000000
1931,0.000000,0.000000
1932,0.000000,0.000000
1933,0.000000,0.000000
1934,0.000000,0.000000
1935,0.000000,0.000000
1936,0.000000,0.000000
1937,0.000000,0.000000
1938,0.000000,0.000000
1939,0.000000,0.000000
1940,0.000000,0.000000
1941,0.000000,0.000000
1942,0.000000,0.000000
1943,0.000000,0.000000
1944,0.000002,0.000000
1945,0.000014,0.000000
1946,0.000010,0.000000
1947,0.000005,0.000001
1948,0.000006,0.000000
1949,0.000005,0.000000
1950,0.000006,0.000000
1951,0.000005,0.000000
1952,0.000004,0.000000
1953,0.000004,0.000000
1954,0.000004,0.000000
1955,0.000004,0.000002
1956,0.000006,0.000000
1957,0.000004,0.000002
1958,0.000005,0.000001
1959,0.000005,0.000002
1960,0.000005,0.000002
1961,0.000008,0.000004
1962,0.000008,0.000003
1963,0.000008,0.000004
1964,0.000005,0.000003
1965,0.000007,0.000007
1966,0.000010,0.000009
1967,0.000013,0.000011
1968,0.000016,0.000018
1969,0.000016,0.000017
1970,0.000023,0.000033
1971,0.000020,0.000027
1972,0.000030,0.000032
1973,0.000024,0.000030
1974,0.000031,0.000032
1975,0.000048,0.000035
1976,0.000046,0.000038
1977,0.000051,0.000033
1978,0.000066,0.000042
1979,0.000082,0.000032
1980,0.000079,0.000032
1981,0.000091,0.000024
1982,0.000175,0.000027
1983,0.000212,0.000028
1984,0.000191,0.000026
1985,0.000203,0.000027
1986,0.000242,0.000028
1987,0.000238,0.000022
1988,0.000231,0.000031
1989,0.000298,0.000031
1990,0.000332,0.000038
1991,0.000362,0.000038
1992,0.000440,0.000047
1993,0.000552,0.000047
1994,0.000523,0.000052
1995,0.000487,0.000050
1996,0.000613,0.000047
1997,0.000688,0.000039
1998,0.000723,0.000036
1999,0.000755,0.000041
2000,0.000758,0.000035
2001,0.000877,0.000043
2002,0.000972,0.000028
2003,0.000892,0.000024
2004,0.000799,0.000027
2005,0.000754,0.000025
2006,0.000758,0.000021
2007,0.000759,0.000017
2008,0.000673,0.000019
2009,0.000653,0.000019
2010,0.000737,0.000020
2011,0.000732,0.000013
2012,0.000750,0.000016
2013,0.000712,0.000014
