year,Judson (F),Judson (M)
1880,0.000000,0.000154
1881,0.000000,0.000119
1882,0.000000,0.000104
1883,0.000000,0.000101
1884,0.000000,0.000078
1885,0.000000,0.000075
1886,0.000000,0.000082
1887,0.000000,0.000081
1888,0.000000,0.000107
1889,0.000000,0.000073
1890,0.000000,0.000070
1891,0.000000,0.000045
1892,0.000000,0.000060
1893,0.000000,0.000049
1894,0.000000,0.000056
1895,0.000000,0.000066
1896,0.000000,0.000042
1897,0.000000,0.000043
1898,0.000000,0.000045
1899,0.000000,0.000047
1900,0.000000,0.000056
1901,0.000000,0.000040
1902,0.000000,0.000031
1903,0.000000,0.000026
1904,0.000000,0.000045
1905,0.000000,0.000024
1906,0.000000,0.000030
1907,0.000000,0.000041
1908,0.000000,0.000039
1909,0.000000,0.000065
1910,0.000000,0.000052
1911,0.000000,0.000071
1912,0.000000,0.000069
1913,0.000000,0.000056
1914,0.000000,0.000054
1915,0.000000,0.000057
1916,0.000000,0.000050
1917,0.000000,0.000054
1918,0.000000,0.000061
1919,0.000000,0.000038
1920,0.000000,0.000050
1921,0.000000,0.000052
1922,0.000000,0.000039
1923,0.000000,0.000049
1924,0.000000,0.000041
1925,0.000000,0.000050
1926,0.000000,0.000049
1927,0.000000,0.000041
1928,0.000000,0.000042
1929,0.000000,0.000047
1930,0.000000,0.000040
1931,0.000000,0.000046
1932,0.000000,0.000044
1933,0.000000,0.000030
1934,0.000000,0.000042
1935,0.000000,0.000031
1936,0.000000,0.000029
1937,0.000000,0.000037
1938,0.000000,0.000037
1939,0.000000,0.000039
1940,0.000000,0.000037
1941,0.000000,0.000032
1942,0.000000,0.000036
1943,0.000000,0.000035
1944,0.000000,0.000033
1945,0.000000,0.000034
1946,0.000000,0.000028
1947,0.000000,0.000032
1948,0.000000,0.000025
1949,0.000000,0.000028
1950,0.000000,0.000028
1951,0.000000,0.000022
1952,0.000000,0.000025
1953,0.000000,0.000026
1954,0.000000,0.000022
1955,0.000000,0.000021
1956,0.000000,0.000019
1957,0.000000,0.000025
1958,0.000000,0.000023
1959,0.000000,0.000024
1960,0.000000,0.000023
1961,0.000000,0.000023
1962,0.000000,0.000021
1963,0.000000,0.000017
1964,0.000000,0.000021
1965,0.000000,0.000020
1966,0.000000,0.000024
1967,0.000000,0.000021
1968,0.000000,0.000026
1969,0.000000,0.000032
1970,0.000000,0.000042
1971,0.000000,0.000032
1972,0.000000,0.000038
1973,0.000000,0.000037
1974,0.000000,0.000047
1975,0.000000,0.000042
1976,0.000000,0.000032
1977,0.000000,0.000039
1978,0.000000,0.000041
1979,0.000000,0.000043
1980,0.000000,0.000039
1981,0.000000,0.000043
1982,0.000000,0.000042
1983,0.000000,0.000033
1984,0.000000,0.000038
1985,0.000000,0.000033
1986,0.000000,0.000026
1987,0.000000,0.000022
1988,0.000000,0.000025
1989,0.000000,0.000025
1990,0.000000,0.000028
1991,0.000000,0.000017
1992,0.000000,0.000021
1993,0.000000,0.000015
1994,0.000000,0.000022
1995,0.000000,0.000017
1996,0.000000,0.000018
1997,0.000000,0.000024
1998,0.000000,0.000019
1999,0.000000,0.000019
2000,0.000000,0.000022
2001,0.000000,0.000026
2002,0.000000,0.000028
2003,0.000000,0.000022
2004,0.000000,0.000029
2005,0.000000,0.000036
2006,0.000000,0.000025
2007,0.000000,0.000034
2008,0.000000,0.000035
2009,0.000000,0.000036
2010,0.000000,0.000036
2011,0.000000,0.000042
2012,0.000000,0.000049
2013,0.000000,0.000053
2014,0.000000,0.000059
2015,0.000000,0.000067
2016,0.000000,0.000061
2017,0.000000,0.000062
2018,0.000000,0.000068
2019,0.000000,0.000074
2020,0.000000,0.000077
