year,Judi
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,6
1931,0
1932,0
1933,9
1934,6
1935,15
1936,22
1937,39
1938,51
1939,84
1940,201
1941,200
1942,343
1943,406
1944,449
1945,524
1946,601
1947,607
1948,367
1949,242
1950,175
1951,170
1952,143
1953,125
1954,111
1955,132
1956,153
1957,209
1958,325
1959,425
1960,426
1961,437
1962,377
1963,349
1964,325
1965,293
1966,256
1967,226
1968,176
1969,174
1970,137
1971,114
1972,97
1973,65
1974,53
1975,32
1976,51
1977,23
1978,31
1979,26
1980,24
1981,12
1982,27
1983,15
1984,25
1985,18
1986,15
1987,14
1988,15
1989,16
1990,20
1991,10
1992,18
1993,9
1994,14
1995,6
1996,15
1997,10
1998,8
1999,0
2000,0
2001,0
2002,8
2003,9
2004,8
2005,5
2006,9
2007,0
2008,7
2009,6
2010,12
2011,13
2012,18
