year,Jeanenne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,11
1930,14
1931,11
1932,5
1933,8
1934,10
1935,11
1936,10
1937,7
1938,16
1939,10
1940,7
1941,10
1942,0
1943,10
1944,6
1945,6
1946,5
1947,6
1948,6
1949,6
1950,10
1951,7
1952,5
1953,7
1954,11
1955,6
1956,0
1957,5
1958,10
1959,10
1960,17
1961,12
1962,7
1963,10
1964,10
1965,18
1966,6
1967,6
1968,5
1969,6
1970,6
1971,8
1972,0
1973,0
1974,0
1975,6
1976,5
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,5
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
