year,Jesusita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,5
1903,0
1904,7
1905,0
1906,5
1907,0
1908,0
1909,5
1910,9
1911,0
1912,12
1913,7
1914,14
1915,7
1916,11
1917,14
1918,21
1919,19
1920,23
1921,31
1922,20
1923,32
1924,25
1925,25
1926,26
1927,26
1928,24
1929,29
1930,34
1931,20
1932,21
1933,21
1934,23
1935,13
1936,11
1937,20
1938,13
1939,18
1940,13
1941,19
1942,11
1943,30
1944,22
1945,25
1946,27
1947,27
1948,27
1949,34
1950,20
1951,24
1952,23
1953,20
1954,12
1955,12
1956,20
1957,20
1958,23
1959,12
1960,17
1961,15
1962,25
1963,18
1964,15
1965,20
1966,13
1967,15
1968,13
1969,16
1970,7
1971,19
1972,16
1973,9
1974,18
1975,11
1976,16
1977,0
1978,8
1979,17
1980,16
1981,16
1982,12
1983,18
1984,9
1985,10
1986,11
1987,9
1988,8
1989,5
1990,10
1991,11
1992,6
1993,0
1994,0
1995,5
1996,0
1997,0
1998,5
1999,0
2000,0
2001,0
2002,0
2003,0
2004,5
2005,5
2006,0
2007,0
2008,5
2009,0
2010,0
2011,0
2012,0
