year,Jewel (F),Jewel (M)
1880,0.000025,0.000025
1881,0.000031,0.000000
1882,0.000045,0.000000
1883,0.000041,0.000000
1884,0.000025,0.000025
1885,0.000037,0.000000
1886,0.000078,0.000000
1887,0.000093,0.000020
1888,0.000057,0.000017
1889,0.000093,0.000024
1890,0.000109,0.000000
1891,0.000108,0.000021
1892,0.000117,0.000030
1893,0.000129,0.000031
1894,0.000218,0.000000
1895,0.000174,0.000031
1896,0.000162,0.000036
1897,0.000251,0.000020
1898,0.000341,0.000026
1899,0.000310,0.000024
1900,0.000360,0.000049
1901,0.000466,0.000038
1902,0.000396,0.000034
1903,0.000517,0.000037
1904,0.000568,0.000062
1905,0.000474,0.000054
1906,0.000530,0.000049
1907,0.000537,0.000067
1908,0.000499,0.000045
1909,0.000493,0.000049
1910,0.000538,0.000039
1911,0.000508,0.000059
1912,0.000421,0.000050
1913,0.000345,0.000044
1914,0.000364,0.000057
1915,0.000356,0.000059
1916,0.000375,0.000057
1917,0.000320,0.000055
1918,0.000344,0.000057
1919,0.000369,0.000060
1920,0.000365,0.000059
1921,0.000336,0.000058
1922,0.000354,0.000062
1923,0.000317,0.000048
1924,0.000346,0.000054
1925,0.000348,0.000048
1926,0.000343,0.000065
1927,0.000334,0.000056
1928,0.000329,0.000061
1929,0.000315,0.000047
1930,0.000309,0.000050
1931,0.000260,0.000046
1932,0.000266,0.000045
1933,0.000254,0.000047
1934,0.000238,0.000043
1935,0.000228,0.000035
1936,0.000203,0.000038
1937,0.000195,0.000035
1938,0.000166,0.000032
1939,0.000178,0.000038
1940,0.000140,0.000029
1941,0.000166,0.000027
1942,0.000154,0.000026
1943,0.000141,0.000022
1944,0.000135,0.000017
1945,0.000135,0.000016
1946,0.000102,0.000018
1947,0.000110,0.000013
1948,0.000101,0.000011
1949,0.000087,0.000015
1950,0.000084,0.000013
1951,0.000079,0.000014
1952,0.000081,0.000015
1953,0.000067,0.000010
1954,0.000070,0.000012
1955,0.000066,0.000008
1956,0.000065,0.000009
1957,0.000056,0.000011
1958,0.000056,0.000008
1959,0.000056,0.000007
1960,0.000054,0.000006
1961,0.000056,0.000008
1962,0.000048,0.000004
1963,0.000053,0.000007
1964,0.000058,0.000005
1965,0.000052,0.000007
1966,0.000045,0.000005
1967,0.000038,0.000006
1968,0.000043,0.000004
1969,0.000033,0.000007
1970,0.000033,0.000007
1971,0.000032,0.000005
1972,0.000041,0.000005
1973,0.000035,0.000005
1974,0.000033,0.000008
1975,0.000029,0.000005
1976,0.000032,0.000005
1977,0.000031,0.000007
1978,0.000027,0.000004
1979,0.000032,0.000007
1980,0.000032,0.000005
1981,0.000038,0.000004
1982,0.000035,0.000005
1983,0.000036,0.000006
1984,0.000030,0.000005
1985,0.000031,0.000003
1986,0.000034,0.000004
1987,0.000040,0.000004
1988,0.000033,0.000005
1989,0.000041,0.000005
1990,0.000037,0.000004
1991,0.000046,0.000004
1992,0.000041,0.000003
1993,0.000038,0.000004
1994,0.000039,0.000005
1995,0.000042,0.000003
1996,0.000046,0.000003
1997,0.000091,0.000003
1998,0.000133,0.000004
1999,0.000123,0.000004
2000,0.000111,0.000004
2001,0.000111,0.000004
2002,0.000099,0.000003
2003,0.000092,0.000004
2004,0.000088,0.000003
2005,0.000081,0.000003
2006,0.000081,0.000003
2007,0.000091,0.000003
2008,0.000079,0.000003
2009,0.000075,0.000003
2010,0.000076,0.000002
2011,0.000075,0.000002
2012,0.000091,0.000002
2013,0.000078,0.000002
2014,0.000085,0.000004
2015,0.000084,0.000003
2016,0.000081,0.000004
2017,0.000093,0.000003
2018,0.000089,0.000001
2019,0.000077,0.000005
2020,0.000074,0.000004
