year,Johnette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,5
1915,0
1916,8
1917,0
1918,0
1919,6
1920,0
1921,7
1922,5
1923,8
1924,9
1925,0
1926,9
1927,5
1928,9
1929,12
1930,6
1931,12
1932,12
1933,14
1934,8
1935,8
1936,16
1937,23
1938,13
1939,17
1940,10
1941,18
1942,22
1943,25
1944,17
1945,33
1946,25
1947,42
1948,50
1949,59
1950,35
1951,46
1952,40
1953,39
1954,38
1955,50
1956,50
1957,29
1958,44
1959,44
1960,48
1961,54
1962,41
1963,41
1964,50
1965,36
1966,46
1967,46
1968,40
1969,52
1970,41
1971,46
1972,35
1973,38
1974,23
1975,30
1976,17
1977,21
1978,32
1979,27
1980,28
1981,29
1982,23
1983,15
1984,17
1985,17
1986,17
1987,17
1988,15
1989,12
1990,16
1991,15
1992,14
1993,18
1994,11
1995,5
1996,6
1997,5
1998,0
1999,7
2000,6
2001,9
2002,0
2003,0
2004,0
2005,5
2006,5
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
