year,Julieanne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,8
1941,13
1942,7
1943,10
1944,9
1945,10
1946,7
1947,13
1948,10
1949,21
1950,9
1951,9
1952,7
1953,9
1954,14
1955,10
1956,5
1957,9
1958,13
1959,12
1960,24
1961,22
1962,16
1963,19
1964,31
1965,30
1966,26
1967,17
1968,25
1969,31
1970,26
1971,35
1972,31
1973,26
1974,19
1975,14
1976,22
1977,16
1978,20
1979,23
1980,25
1981,33
1982,23
1983,25
1984,25
1985,32
1986,34
1987,52
1988,31
1989,36
1990,49
1991,28
1992,33
1993,21
1994,21
1995,40
1996,25
1997,28
1998,35
1999,32
2000,23
2001,25
2002,20
2003,35
2004,32
2005,29
2006,26
2007,25
2008,29
2009,22
2010,21
2011,16
2012,16
