year,Josiephine
1880,9
1881,5
1882,11
1883,8
1884,0
1885,0
1886,5
1887,5
1888,8
1889,8
1890,9
1891,0
1892,9
1893,0
1894,6
1895,9
1896,11
1897,8
1898,8
1899,5
1900,20
1901,11
1902,16
1903,8
1904,8
1905,8
1906,15
1907,10
1908,11
1909,14
1910,16
1911,7
1912,17
1913,19
1914,20
1915,20
1916,28
1917,24
1918,19
1919,28
1920,22
1921,28
1922,34
1923,24
1924,24
1925,32
1926,18
1927,37
1928,20
1929,21
1930,16
1931,16
1932,16
1933,12
1934,16
1935,14
1936,15
1937,19
1938,20
1939,14
1940,12
1941,13
1942,8
1943,10
1944,12
1945,12
1946,11
1947,6
1948,9
1949,8
1950,9
1951,13
1952,12
1953,5
1954,11
1955,12
1956,5
1957,7
1958,0
1959,8
1960,5
1961,0
1962,5
1963,0
1964,7
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
