year,Janie (F),Janie (M)
1880,0.000476,0.000000
1881,0.000586,0.000000
1882,0.000605,0.000000
1883,0.000622,0.000000
1884,0.000501,0.000000
1885,0.000644,0.000000
1886,0.000584,0.000000
1887,0.000627,0.000000
1888,0.000688,0.000000
1889,0.000782,0.000000
1890,0.000730,0.000000
1891,0.000712,0.000000
1892,0.000724,0.000000
1893,0.000649,0.000000
1894,0.000726,0.000000
1895,0.000627,0.000000
1896,0.000624,0.000000
1897,0.000712,0.000000
1898,0.000616,0.000000
1899,0.000660,0.000000
1900,0.000733,0.000000
1901,0.000804,0.000000
1902,0.000677,0.000000
1903,0.000682,0.000000
1904,0.000674,0.000000
1905,0.000722,0.000000
1906,0.000618,0.000000
1907,0.000634,0.000000
1908,0.000581,0.000000
1909,0.000589,0.000000
1910,0.000638,0.000000
1911,0.000492,0.000000
1912,0.000421,0.000000
1913,0.000414,0.000000
1914,0.000333,0.000004
1915,0.000312,0.000000
1916,0.000336,0.000000
1917,0.000315,0.000000
1918,0.000302,0.000000
1919,0.000356,0.000000
1920,0.000338,0.000000
1921,0.000303,0.000002
1922,0.000299,0.000000
1923,0.000303,0.000000
1924,0.000314,0.000003
1925,0.000318,0.000002
1926,0.000289,0.000000
1927,0.000314,0.000000
1928,0.000313,0.000003
1929,0.000321,0.000004
1930,0.000319,0.000000
1931,0.000329,0.000002
1932,0.000334,0.000003
1933,0.000355,0.000003
1934,0.000372,0.000004
1935,0.000356,0.000007
1936,0.000363,0.000000
1937,0.000332,0.000003
1938,0.000351,0.000003
1939,0.000345,0.000000
1940,0.000352,0.000003
1941,0.000327,0.000000
1942,0.000347,0.000005
1943,0.000377,0.000000
1944,0.000432,0.000002
1945,0.000554,0.000003
1946,0.000533,0.000000
1947,0.000512,0.000002
1948,0.000457,0.000002
1949,0.000499,0.000000
1950,0.000494,0.000000
1951,0.000464,0.000000
1952,0.000414,0.000001
1953,0.000410,0.000001
1954,0.000375,0.000000
1955,0.000370,0.000001
1956,0.000342,0.000000
1957,0.000310,0.000002
1958,0.000294,0.000000
1959,0.000271,0.000000
1960,0.000261,0.000003
1961,0.000254,0.000001
1962,0.000235,0.000002
1963,0.000238,0.000000
1964,0.000193,0.000002
1965,0.000171,0.000000
1966,0.000171,0.000002
1967,0.000163,0.000000
1968,0.000145,0.000000
1969,0.000144,0.000002
1970,0.000132,0.000002
1971,0.000132,0.000001
1972,0.000140,0.000002
1973,0.000129,0.000002
1974,0.000116,0.000003
1975,0.000116,0.000002
1976,0.000119,0.000003
1977,0.000111,0.000000
1978,0.000095,0.000000
1979,0.000099,0.000000
1980,0.000092,0.000000
1981,0.000098,0.000000
1982,0.000096,0.000003
1983,0.000089,0.000000
1984,0.000088,0.000000
1985,0.000084,0.000000
1986,0.000084,0.000000
1987,0.000074,0.000002
1988,0.000086,0.000000
1989,0.000077,0.000001
1990,0.000082,0.000000
1991,0.000082,0.000000
1992,0.000079,0.000000
1993,0.000072,0.000000
1994,0.000077,0.000000
1995,0.000068,0.000000
1996,0.000063,0.000000
1997,0.000066,0.000000
1998,0.000057,0.000000
1999,0.000056,0.000000
2000,0.000055,0.000000
2001,0.000057,0.000000
2002,0.000063,0.000000
2003,0.000051,0.000000
2004,0.000058,0.000000
2005,0.000059,0.000000
2006,0.000047,0.000000
2007,0.000043,0.000000
2008,0.000051,0.000000
2009,0.000053,0.000000
2010,0.000042,0.000000
2011,0.000038,0.000000
2012,0.000045,0.000000
2013,0.000040,0.000000
