year,Jamia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,5
1955,0
1956,6
1957,5
1958,5
1959,5
1960,0
1961,7
1962,0
1963,0
1964,5
1965,5
1966,7
1967,11
1968,11
1969,12
1970,10
1971,12
1972,16
1973,11
1974,9
1975,12
1976,18
1977,23
1978,20
1979,33
1980,38
1981,37
1982,32
1983,41
1984,33
1985,49
1986,43
1987,41
1988,55
1989,44
1990,64
1991,62
1992,78
1993,72
1994,69
1995,76
1996,126
1997,115
1998,142
1999,171
2000,171
2001,172
2002,195
2003,227
2004,180
2005,172
2006,178
2007,164
2008,161
2009,127
2010,96
2011,86
2012,88
