year,Jonni
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,11
1944,9
1945,7
1946,14
1947,10
1948,9
1949,12
1950,17
1951,15
1952,14
1953,16
1954,25
1955,23
1956,33
1957,40
1958,33
1959,30
1960,15
1961,31
1962,25
1963,21
1964,23
1965,21
1966,19
1967,20
1968,17
1969,18
1970,24
1971,19
1972,19
1973,13
1974,22
1975,15
1976,12
1977,14
1978,16
1979,14
1980,20
1981,22
1982,24
1983,5
1984,21
1985,20
1986,14
1987,23
1988,20
1989,20
1990,23
1991,25
1992,16
1993,16
1994,25
1995,16
1996,16
1997,14
1998,10
1999,20
2000,9
2001,9
2002,10
2003,15
2004,7
2005,8
2006,8
2007,6
2008,12
2009,7
2010,0
2011,10
2012,10
