year,Jules (F),Jules (M)
1880,0.000000,0.000079
1881,0.000000,0.000083
1882,0.000000,0.000059
1883,0.000000,0.000083
1884,0.000000,0.000070
1885,0.000000,0.000054
1886,0.000000,0.000027
1887,0.000000,0.000044
1888,0.000000,0.000060
1889,0.000000,0.000042
1890,0.000000,0.000040
1891,0.000000,0.000045
1892,0.000000,0.000060
1893,0.000000,0.000061
1894,0.000000,0.000041
1895,0.000000,0.000048
1896,0.000000,0.000045
1897,0.000000,0.000046
1898,0.000000,0.000029
1899,0.000000,0.000038
1900,0.000000,0.000029
1901,0.000000,0.000043
1902,0.000000,0.000054
1903,0.000000,0.000058
1904,0.000000,0.000035
1905,0.000000,0.000040
1906,0.000000,0.000049
1907,0.000000,0.000034
1908,0.000000,0.000051
1909,0.000000,0.000053
1910,0.000000,0.000059
1911,0.000000,0.000073
1912,0.000000,0.000082
1913,0.000000,0.000075
1914,0.000000,0.000084
1915,0.000000,0.000061
1916,0.000000,0.000066
1917,0.000000,0.000062
1918,0.000000,0.000067
1919,0.000000,0.000061
1920,0.000000,0.000042
1921,0.000000,0.000050
1922,0.000000,0.000049
1923,0.000000,0.000052
1924,0.000000,0.000047
1925,0.000000,0.000054
1926,0.000000,0.000053
1927,0.000000,0.000058
1928,0.000000,0.000068
1929,0.000000,0.000055
1930,0.000000,0.000053
1931,0.000000,0.000062
1932,0.000000,0.000057
1933,0.000000,0.000052
1934,0.000000,0.000048
1935,0.000000,0.000035
1936,0.000000,0.000043
1937,0.000000,0.000045
1938,0.000000,0.000037
1939,0.000000,0.000043
1940,0.000000,0.000042
1941,0.000000,0.000036
1942,0.000000,0.000038
1943,0.000000,0.000034
1944,0.000000,0.000029
1945,0.000000,0.000029
1946,0.000000,0.000032
1947,0.000000,0.000029
1948,0.000000,0.000026
1949,0.000000,0.000020
1950,0.000000,0.000023
1951,0.000000,0.000021
1952,0.000000,0.000026
1953,0.000000,0.000026
1954,0.000000,0.000020
1955,0.000000,0.000019
1956,0.000000,0.000014
1957,0.000000,0.000016
1958,0.000000,0.000016
1959,0.000000,0.000015
1960,0.000000,0.000013
1961,0.000000,0.000015
1962,0.000000,0.000013
1963,0.000000,0.000012
1964,0.000000,0.000011
1965,0.000000,0.000014
1966,0.000000,0.000011
1967,0.000000,0.000013
1968,0.000000,0.000014
1969,0.000000,0.000016
1970,0.000000,0.000014
1971,0.000000,0.000011
1972,0.000000,0.000012
1973,0.000000,0.000017
1974,0.000000,0.000014
1975,0.000000,0.000015
1976,0.000000,0.000013
1977,0.000000,0.000013
1978,0.000000,0.000010
1979,0.000000,0.000019
1980,0.000000,0.000013
1981,0.000000,0.000013
1982,0.000000,0.000012
1983,0.000000,0.000015
1984,0.000000,0.000013
1985,0.000000,0.000013
1986,0.000000,0.000012
1987,0.000001,0.000016
1988,0.000000,0.000019
1989,0.000002,0.000015
1990,0.000003,0.000013
1991,0.000003,0.000018
1992,0.000002,0.000015
1993,0.000002,0.000015
1994,0.000003,0.000010
1995,0.000002,0.000014
1996,0.000003,0.000013
1997,0.000004,0.000016
1998,0.000005,0.000016
1999,0.000008,0.000013
2000,0.000012,0.000014
2001,0.000016,0.000014
2002,0.000023,0.000016
2003,0.000016,0.000016
2004,0.000013,0.000015
2005,0.000015,0.000018
2006,0.000011,0.000014
2007,0.000010,0.000012
2008,0.000015,0.000017
2009,0.000015,0.000018
2010,0.000021,0.000015
2011,0.000019,0.000015
2012,0.000019,0.000019
