year,Joya
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,6
1943,5
1944,6
1945,0
1946,8
1947,0
1948,8
1949,0
1950,8
1951,6
1952,7
1953,17
1954,9
1955,6
1956,16
1957,7
1958,13
1959,15
1960,13
1961,11
1962,26
1963,25
1964,16
1965,36
1966,20
1967,17
1968,18
1969,15
1970,25
1971,26
1972,18
1973,24
1974,23
1975,34
1976,39
1977,28
1978,21
1979,31
1980,29
1981,29
1982,35
1983,25
1984,22
1985,23
1986,24
1987,31
1988,33
1989,24
1990,43
1991,21
1992,37
1993,23
1994,23
1995,32
1996,39
1997,20
1998,28
1999,21
2000,24
2001,31
2002,36
2003,35
2004,28
2005,30
2006,29
2007,27
2008,20
2009,30
2010,18
2011,23
2012,29
