year,Justice (F),Justice (M)
1880,0.000000,0.000025
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000013
1903,0.000000,0.000000
1904,0.000000,0.000012
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000008
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000008
1914,0.000000,0.000006
1915,0.000000,0.000004
1916,0.000000,0.000007
1917,0.000000,0.000007
1918,0.000000,0.000005
1919,0.000000,0.000008
1920,0.000000,0.000005
1921,0.000000,0.000006
1922,0.000000,0.000003
1923,0.000000,0.000005
1924,0.000000,0.000005
1925,0.000000,0.000005
1926,0.000000,0.000003
1927,0.000000,0.000007
1928,0.000000,0.000007
1929,0.000000,0.000005
1930,0.000000,0.000003
1931,0.000000,0.000004
1932,0.000000,0.000005
1933,0.000000,0.000005
1934,0.000000,0.000003
1935,0.000000,0.000003
1936,0.000000,0.000003
1937,0.000000,0.000003
1938,0.000000,0.000005
1939,0.000000,0.000005
1940,0.000000,0.000000
1941,0.000000,0.000004
1942,0.000000,0.000004
1943,0.000000,0.000002
1944,0.000000,0.000000
1945,0.000000,0.000005
1946,0.000000,0.000003
1947,0.000000,0.000002
1948,0.000000,0.000002
1949,0.000000,0.000002
1950,0.000000,0.000002
1951,0.000000,0.000002
1952,0.000000,0.000002
1953,0.000000,0.000001
1954,0.000000,0.000002
1955,0.000000,0.000001
1956,0.000000,0.000000
1957,0.000000,0.000001
1958,0.000000,0.000001
1959,0.000000,0.000002
1960,0.000000,0.000000
1961,0.000000,0.000001
1962,0.000000,0.000002
1963,0.000000,0.000002
1964,0.000000,0.000000
1965,0.000000,0.000001
1966,0.000000,0.000000
1967,0.000000,0.000002
1968,0.000000,0.000002
1969,0.000000,0.000002
1970,0.000000,0.000003
1971,0.000000,0.000006
1972,0.000002,0.000006
1973,0.000000,0.000006
1974,0.000000,0.000009
1975,0.000003,0.000009
1976,0.000002,0.000006
1977,0.000000,0.000010
1978,0.000002,0.000008
1979,0.000002,0.000010
1980,0.000003,0.000009
1981,0.000000,0.000011
1982,0.000001,0.000013
1983,0.000002,0.000008
1984,0.000000,0.000008
1985,0.000001,0.000009
1986,0.000004,0.000010
1987,0.000004,0.000011
1988,0.000006,0.000010
1989,0.000007,0.000012
1990,0.000005,0.000017
1991,0.000008,0.000026
1992,0.000009,0.000043
1993,0.000046,0.000071
1994,0.000193,0.000126
1995,0.000286,0.000164
1996,0.000236,0.000227
1997,0.000188,0.000221
1998,0.000165,0.000214
1999,0.000141,0.000180
2000,0.000126,0.000174
2001,0.000166,0.000191
2002,0.000194,0.000222
2003,0.000175,0.000175
2004,0.000155,0.000171
2005,0.000140,0.000155
2006,0.000138,0.000182
2007,0.000132,0.000186
2008,0.000145,0.000172
2009,0.000144,0.000174
2010,0.000148,0.000159
2011,0.000150,0.000138
2012,0.000160,0.000139
2013,0.000193,0.000161
