year,Jodie (F),Jodie (M)
1880,0.000000,0.000025
1881,0.000000,0.000000
1882,0.000036,0.000000
1883,0.000023,0.000023
1884,0.000037,0.000000
1885,0.000000,0.000037
1886,0.000027,0.000031
1887,0.000032,0.000020
1888,0.000033,0.000020
1889,0.000017,0.000031
1890,0.000033,0.000000
1891,0.000017,0.000042
1892,0.000027,0.000030
1893,0.000018,0.000046
1894,0.000021,0.000041
1895,0.000023,0.000028
1896,0.000036,0.000036
1897,0.000029,0.000040
1898,0.000021,0.000024
1899,0.000035,0.000038
1900,0.000022,0.000024
1901,0.000017,0.000023
1902,0.000016,0.000013
1903,0.000029,0.000021
1904,0.000017,0.000025
1905,0.000028,0.000028
1906,0.000012,0.000023
1907,0.000024,0.000039
1908,0.000016,0.000029
1909,0.000018,0.000029
1910,0.000020,0.000036
1911,0.000028,0.000017
1912,0.000012,0.000027
1913,0.000016,0.000026
1914,0.000016,0.000025
1915,0.000009,0.000021
1916,0.000011,0.000021
1917,0.000005,0.000020
1918,0.000010,0.000019
1919,0.000010,0.000019
1920,0.000007,0.000026
1921,0.000006,0.000018
1922,0.000006,0.000022
1923,0.000006,0.000018
1924,0.000007,0.000015
1925,0.000006,0.000016
1926,0.000006,0.000021
1927,0.000006,0.000020
1928,0.000007,0.000019
1929,0.000007,0.000020
1930,0.000007,0.000021
1931,0.000006,0.000013
1932,0.000010,0.000018
1933,0.000005,0.000019
1934,0.000009,0.000014
1935,0.000006,0.000017
1936,0.000009,0.000011
1937,0.000008,0.000015
1938,0.000005,0.000014
1939,0.000010,0.000015
1940,0.000008,0.000013
1941,0.000013,0.000014
1942,0.000009,0.000012
1943,0.000009,0.000010
1944,0.000012,0.000009
1945,0.000009,0.000012
1946,0.000013,0.000011
1947,0.000018,0.000013
1948,0.000018,0.000013
1949,0.000015,0.000010
1950,0.000025,0.000009
1951,0.000028,0.000012
1952,0.000032,0.000012
1953,0.000044,0.000009
1954,0.000047,0.000010
1955,0.000062,0.000011
1956,0.000075,0.000008
1957,0.000115,0.000010
1958,0.000123,0.000008
1959,0.000118,0.000011
1960,0.000121,0.000013
1961,0.000133,0.000014
1962,0.000146,0.000009
1963,0.000173,0.000012
1964,0.000169,0.000008
1965,0.000185,0.000015
1966,0.000200,0.000013
1967,0.000252,0.000014
1968,0.000254,0.000015
1969,0.000269,0.000018
1970,0.000292,0.000014
1971,0.000303,0.000014
1972,0.000297,0.000013
1973,0.000282,0.000016
1974,0.000338,0.000018
1975,0.000295,0.000012
1976,0.000276,0.000013
1977,0.000266,0.000015
1978,0.000261,0.000016
1979,0.000211,0.000016
1980,0.000179,0.000012
1981,0.000168,0.000009
1982,0.000165,0.000006
1983,0.000164,0.000006
1984,0.000135,0.000009
1985,0.000099,0.000004
1986,0.000091,0.000004
1987,0.000076,0.000005
1988,0.000057,0.000004
1989,0.000073,0.000004
1990,0.000057,0.000005
1991,0.000059,0.000004
1992,0.000063,0.000004
1993,0.000057,0.000005
1994,0.000051,0.000002
1995,0.000055,0.000002
1996,0.000049,0.000003
1997,0.000039,0.000004
1998,0.000031,0.000002
1999,0.000036,0.000005
2000,0.000028,0.000001
2001,0.000029,0.000002
2002,0.000030,0.000005
2003,0.000025,0.000002
2004,0.000021,0.000004
2005,0.000025,0.000003
2006,0.000024,0.000003
2007,0.000021,0.000002
2008,0.000010,0.000004
2009,0.000014,0.000002
2010,0.000013,0.000004
2011,0.000013,0.000002
2012,0.000011,0.000001
2013,0.000011,0.000004
2014,0.000013,0.000004
2015,0.000008,0.000002
2016,0.000012,0.000000
2017,0.000008,0.000001
2018,0.000012,0.000003
2019,0.000012,0.000002
2020,0.000010,0.000003
