year,Johnie (F),Johnie (M)
1880,0.000000,0.000089
1881,0.000026,0.000073
1882,0.000000,0.000099
1883,0.000000,0.000069
1884,0.000045,0.000115
1885,0.000058,0.000137
1886,0.000020,0.000117
1887,0.000024,0.000113
1888,0.000033,0.000144
1889,0.000031,0.000132
1890,0.000027,0.000133
1891,0.000042,0.000133
1892,0.000048,0.000176
1893,0.000043,0.000129
1894,0.000053,0.000177
1895,0.000083,0.000165
1896,0.000036,0.000210
1897,0.000055,0.000205
1898,0.000026,0.000202
1899,0.000083,0.000248
1900,0.000078,0.000289
1901,0.000067,0.000249
1902,0.000088,0.000292
1903,0.000071,0.000260
1904,0.000077,0.000265
1905,0.000085,0.000349
1906,0.000075,0.000329
1907,0.000118,0.000286
1908,0.000061,0.000352
1909,0.000117,0.000288
1910,0.000113,0.000337
1911,0.000104,0.000286
1912,0.000081,0.000315
1913,0.000075,0.000287
1914,0.000071,0.000286
1915,0.000069,0.000249
1916,0.000068,0.000255
1917,0.000069,0.000275
1918,0.000090,0.000292
1919,0.000086,0.000306
1920,0.000065,0.000312
1921,0.000072,0.000268
1922,0.000080,0.000265
1923,0.000076,0.000261
1924,0.000078,0.000244
1925,0.000076,0.000242
1926,0.000080,0.000251
1927,0.000072,0.000263
1928,0.000065,0.000240
1929,0.000055,0.000222
1930,0.000047,0.000210
1931,0.000045,0.000209
1932,0.000049,0.000197
1933,0.000035,0.000170
1934,0.000041,0.000173
1935,0.000046,0.000163
1936,0.000039,0.000146
1937,0.000035,0.000142
1938,0.000029,0.000111
1939,0.000023,0.000108
1940,0.000020,0.000100
1941,0.000019,0.000096
1942,0.000021,0.000082
1943,0.000021,0.000078
1944,0.000019,0.000082
1945,0.000018,0.000060
1946,0.000008,0.000059
1947,0.000010,0.000049
1948,0.000009,0.000048
1949,0.000009,0.000043
1950,0.000009,0.000042
1951,0.000006,0.000037
1952,0.000006,0.000031
1953,0.000005,0.000035
1954,0.000004,0.000029
1955,0.000006,0.000029
1956,0.000004,0.000022
1957,0.000004,0.000021
1958,0.000003,0.000025
1959,0.000003,0.000025
1960,0.000003,0.000022
1961,0.000003,0.000021
1962,0.000002,0.000022
1963,0.000002,0.000023
1964,0.000001,0.000020
1965,0.000002,0.000021
1966,0.000003,0.000018
1967,0.000002,0.000018
1968,0.000000,0.000017
1969,0.000002,0.000019
1970,0.000001,0.000022
1971,0.000002,0.000022
1972,0.000004,0.000015
1973,0.000002,0.000017
1974,0.000004,0.000018
1975,0.000003,0.000012
1976,0.000002,0.000017
1977,0.000002,0.000011
1978,0.000002,0.000010
1979,0.000002,0.000013
1980,0.000002,0.000010
1981,0.000002,0.000010
1982,0.000000,0.000010
1983,0.000001,0.000008
1984,0.000000,0.000010
1985,0.000002,0.000008
1986,0.000000,0.000011
1987,0.000002,0.000007
1988,0.000003,0.000008
1989,0.000002,0.000010
1990,0.000000,0.000007
1991,0.000002,0.000010
1992,0.000002,0.000005
1993,0.000002,0.000007
1994,0.000001,0.000005
1995,0.000000,0.000005
1996,0.000002,0.000007
1997,0.000000,0.000004
1998,0.000002,0.000006
1999,0.000001,0.000005
2000,0.000000,0.000003
2001,0.000000,0.000003
2002,0.000000,0.000003
2003,0.000000,0.000003
2004,0.000000,0.000004
2005,0.000000,0.000004
2006,0.000000,0.000004
2007,0.000000,0.000003
2008,0.000000,0.000004
2009,0.000002,0.000002
2010,0.000000,0.000004
2011,0.000001,0.000003
2012,0.000000,0.000002
