year,Janita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,6
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,6
1923,6
1924,10
1925,0
1926,0
1927,0
1928,7
1929,0
1930,8
1931,0
1932,14
1933,10
1934,6
1935,0
1936,10
1937,13
1938,7
1939,9
1940,6
1941,11
1942,14
1943,11
1944,20
1945,12
1946,17
1947,23
1948,8
1949,13
1950,20
1951,18
1952,17
1953,20
1954,24
1955,20
1956,16
1957,24
1958,24
1959,24
1960,37
1961,32
1962,26
1963,57
1964,36
1965,38
1966,32
1967,28
1968,23
1969,13
1970,27
1971,26
1972,25
1973,22
1974,18
1975,20
1976,25
1977,30
1978,22
1979,30
1980,32
1981,39
1982,43
1983,32
1984,42
1985,34
1986,30
1987,29
1988,38
1989,37
1990,36
1991,30
1992,30
1993,32
1994,16
1995,22
1996,20
1997,11
1998,18
1999,12
2000,13
2001,14
2002,18
2003,0
2004,6
2005,11
2006,16
2007,14
2008,7
2009,11
2010,16
2011,13
2012,12
