year,Jocelyne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,6
1946,0
1947,10
1948,0
1949,6
1950,8
1951,7
1952,7
1953,9
1954,8
1955,8
1956,9
1957,5
1958,7
1959,0
1960,6
1961,5
1962,5
1963,5
1964,0
1965,10
1966,0
1967,10
1968,11
1969,9
1970,7
1971,13
1972,6
1973,9
1974,0
1975,11
1976,5
1977,7
1978,13
1979,6
1980,9
1981,6
1982,10
1983,8
1984,16
1985,5
1986,37
1987,40
1988,18
1989,26
1990,26
1991,30
1992,42
1993,69
1994,104
1995,351
1996,461
1997,386
1998,239
1999,240
2000,185
2001,103
2002,112
2003,93
2004,96
2005,125
2006,132
2007,166
2008,116
2009,98
2010,100
2011,76
2012,70
