year,Janise
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,5
1934,7
1935,12
1936,7
1937,7
1938,12
1939,9
1940,5
1941,11
1942,6
1943,14
1944,8
1945,0
1946,18
1947,20
1948,24
1949,26
1950,32
1951,21
1952,42
1953,54
1954,32
1955,53
1956,51
1957,40
1958,38
1959,44
1960,36
1961,39
1962,34
1963,26
1964,25
1965,22
1966,31
1967,25
1968,29
1969,28
1970,26
1971,28
1972,29
1973,18
1974,14
1975,17
1976,14
1977,18
1978,20
1979,20
1980,28
1981,20
1982,30
1983,27
1984,31
1985,20
1986,18
1987,26
1988,40
1989,49
1990,46
1991,29
1992,42
1993,31
1994,34
1995,18
1996,36
1997,24
1998,17
1999,29
2000,27
2001,31
2002,21
2003,11
2004,29
2005,16
2006,30
2007,24
2008,20
2009,30
2010,20
2011,13
2012,22
