year,Jefferey
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,8
1944,0
1945,0
1946,13
1947,16
1948,18
1949,16
1950,19
1951,24
1952,36
1953,39
1954,53
1955,67
1956,67
1957,74
1958,87
1959,77
1960,78
1961,107
1962,120
1963,116
1964,111
1965,116
1966,108
1967,120
1968,100
1969,140
1970,130
1971,122
1972,123
1973,94
1974,91
1975,81
1976,73
1977,76
1978,74
1979,62
1980,71
1981,76
1982,81
1983,80
1984,87
1985,71
1986,73
1987,69
1988,73
1989,51
1990,52
1991,58
1992,50
1993,36
1994,49
1995,26
1996,30
1997,32
1998,24
1999,21
2000,22
2001,14
2002,17
2003,11
2004,11
2005,15
2006,13
2007,11
2008,11
2009,9
2010,15
2011,12
2012,12
