year,Jonita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,6
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,7
1934,8
1935,7
1936,0
1937,0
1938,0
1939,7
1940,12
1941,0
1942,10
1943,7
1944,8
1945,12
1946,5
1947,10
1948,7
1949,9
1950,10
1951,10
1952,30
1953,16
1954,15
1955,13
1956,18
1957,17
1958,18
1959,17
1960,20
1961,17
1962,17
1963,21
1964,20
1965,13
1966,20
1967,7
1968,12
1969,14
1970,11
1971,20
1972,13
1973,16
1974,8
1975,6
1976,9
1977,18
1978,15
1979,12
1980,25
1981,11
1982,19
1983,23
1984,14
1985,18
1986,13
1987,15
1988,18
1989,7
1990,20
1991,7
1992,9
1993,5
1994,0
1995,6
1996,0
1997,6
1998,5
1999,0
2000,0
2001,5
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
