year,Javier (F),Javier (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000000,0.000002
1918,0.000000,0.000000
1919,0.000000,0.000003
1920,0.000000,0.000003
1921,0.000000,0.000002
1922,0.000000,0.000006
1923,0.000000,0.000007
1924,0.000000,0.000005
1925,0.000000,0.000006
1926,0.000000,0.000008
1927,0.000000,0.000008
1928,0.000000,0.000008
1929,0.000000,0.000016
1930,0.000000,0.000019
1931,0.000000,0.000015
1932,0.000000,0.000017
1933,0.000000,0.000014
1934,0.000000,0.000015
1935,0.000000,0.000013
1936,0.000000,0.000013
1937,0.000000,0.000015
1938,0.000000,0.000014
1939,0.000000,0.000016
1940,0.000000,0.000020
1941,0.000000,0.000019
1942,0.000000,0.000021
1943,0.000000,0.000019
1944,0.000000,0.000019
1945,0.000000,0.000029
1946,0.000000,0.000034
1947,0.000000,0.000031
1948,0.000000,0.000031
1949,0.000000,0.000044
1950,0.000000,0.000065
1951,0.000000,0.000053
1952,0.000000,0.000066
1953,0.000000,0.000070
1954,0.000000,0.000062
1955,0.000000,0.000071
1956,0.000000,0.000082
1957,0.000000,0.000076
1958,0.000000,0.000081
1959,0.000000,0.000105
1960,0.000000,0.000116
1961,0.000000,0.000129
1962,0.000000,0.000145
1963,0.000002,0.000148
1964,0.000000,0.000150
1965,0.000001,0.000158
1966,0.000000,0.000211
1967,0.000001,0.000235
1968,0.000002,0.000218
1969,0.000002,0.000233
1970,0.000003,0.000253
1971,0.000002,0.000282
1972,0.000003,0.000286
1973,0.000004,0.000343
1974,0.000003,0.000348
1975,0.000003,0.000369
1976,0.000003,0.000347
1977,0.000002,0.000350
1978,0.000004,0.000365
1979,0.000005,0.000343
1980,0.000003,0.000379
1981,0.000004,0.000377
1982,0.000006,0.000368
1983,0.000004,0.000409
1984,0.000003,0.000399
1985,0.000003,0.000399
1986,0.000003,0.000401
1987,0.000004,0.000424
1988,0.000005,0.000425
1989,0.000003,0.000472
1990,0.000004,0.000501
1991,0.000006,0.000548
1992,0.000005,0.000555
1993,0.000007,0.000578
1994,0.000004,0.000611
1995,0.000003,0.000614
1996,0.000003,0.000616
1997,0.000003,0.000632
1998,0.000002,0.000628
1999,0.000003,0.000627
2000,0.000003,0.000659
2001,0.000002,0.000705
2002,0.000002,0.000652
2003,0.000001,0.000659
2004,0.000003,0.000664
2005,0.000002,0.000651
2006,0.000000,0.000656
2007,0.000000,0.000638
2008,0.000002,0.000603
2009,0.000002,0.000529
2010,0.000000,0.000528
2011,0.000000,0.000516
2012,0.000000,0.000485
