year,Jared (F),Jared (M)
1880,0.000000,0.000000
1881,0.000000,0.000026
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000017
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000008
1911,0.000000,0.000000
1912,0.000000,0.000006
1913,0.000000,0.000004
1914,0.000000,0.000004
1915,0.000000,0.000008
1916,0.000000,0.000006
1917,0.000000,0.000007
1918,0.000000,0.000006
1919,0.000000,0.000005
1920,0.000000,0.000005
1921,0.000000,0.000005
1922,0.000000,0.000003
1923,0.000000,0.000007
1924,0.000000,0.000008
1925,0.000000,0.000005
1926,0.000000,0.000005
1927,0.000000,0.000008
1928,0.000000,0.000008
1929,0.000000,0.000007
1930,0.000000,0.000011
1931,0.000000,0.000010
1932,0.000000,0.000009
1933,0.000000,0.000007
1934,0.000000,0.000008
1935,0.000000,0.000011
1936,0.000000,0.000012
1937,0.000000,0.000018
1938,0.000000,0.000021
1939,0.000000,0.000020
1940,0.000000,0.000015
1941,0.000000,0.000021
1942,0.000000,0.000016
1943,0.000000,0.000017
1944,0.000000,0.000015
1945,0.000000,0.000014
1946,0.000000,0.000014
1947,0.000000,0.000012
1948,0.000000,0.000014
1949,0.000000,0.000013
1950,0.000000,0.000018
1951,0.000000,0.000015
1952,0.000000,0.000015
1953,0.000000,0.000016
1954,0.000000,0.000023
1955,0.000000,0.000017
1956,0.000000,0.000020
1957,0.000000,0.000018
1958,0.000000,0.000019
1959,0.000000,0.000018
1960,0.000000,0.000015
1961,0.000000,0.000018
1962,0.000000,0.000019
1963,0.000000,0.000022
1964,0.000000,0.000021
1965,0.000000,0.000027
1966,0.000000,0.000075
1967,0.000000,0.000102
1968,0.000000,0.000154
1969,0.000000,0.000197
1970,0.000001,0.000207
1971,0.000000,0.000313
1972,0.000002,0.000401
1973,0.000003,0.000527
1974,0.000003,0.000659
1975,0.000007,0.000847
1976,0.000008,0.000965
1977,0.000005,0.001177
1978,0.000005,0.001212
1979,0.000007,0.001405
1980,0.000010,0.001512
1981,0.000010,0.001695
1982,0.000013,0.001785
1983,0.000011,0.001689
1984,0.000011,0.001629
1985,0.000009,0.001648
1986,0.000007,0.001720
1987,0.000008,0.001722
1988,0.000011,0.001680
1989,0.000007,0.001826
1990,0.000005,0.001681
1991,0.000006,0.001595
1992,0.000003,0.001527
1993,0.000005,0.001609
1994,0.000004,0.001581
1995,0.000002,0.001607
1996,0.000005,0.001596
1997,0.000004,0.001843
1998,0.000004,0.002029
1999,0.000008,0.001970
2000,0.000005,0.001938
2001,0.000004,0.001719
2002,0.000003,0.001294
2003,0.000003,0.001037
2004,0.000004,0.000832
2005,0.000003,0.000760
2006,0.000003,0.000753
2007,0.000002,0.000651
2008,0.000000,0.000520
2009,0.000002,0.000459
2010,0.000001,0.000391
2011,0.000000,0.000357
2012,0.000000,0.000328
2013,0.000000,0.000315
2014,0.000002,0.000322
2015,0.000000,0.000273
2016,0.000000,0.000227
2017,0.000000,0.000237
2018,0.000000,0.000253
2019,0.000000,0.000263
2020,0.000000,0.000254
