year,Jolynn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,6
1936,9
1937,0
1938,8
1939,0
1940,10
1941,7
1942,12
1943,10
1944,13
1945,20
1946,16
1947,43
1948,27
1949,32
1950,28
1951,40
1952,55
1953,42
1954,58
1955,50
1956,55
1957,77
1958,88
1959,91
1960,99
1961,96
1962,107
1963,94
1964,96
1965,92
1966,81
1967,74
1968,96
1969,104
1970,101
1971,92
1972,76
1973,60
1974,88
1975,98
1976,83
1977,84
1978,67
1979,70
1980,84
1981,83
1982,72
1983,66
1984,66
1985,61
1986,59
1987,52
1988,48
1989,46
1990,48
1991,53
1992,32
1993,44
1994,31
1995,38
1996,41
1997,31
1998,35
1999,33
2000,34
2001,46
2002,41
2003,50
2004,55
2005,41
2006,47
2007,49
2008,45
2009,49
2010,49
2011,35
2012,50
