year,Jackeline
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,5
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,6
1960,0
1961,14
1962,18
1963,31
1964,39
1965,41
1966,31
1967,33
1968,44
1969,33
1970,43
1971,48
1972,41
1973,40
1974,46
1975,35
1976,37
1977,26
1978,31
1979,35
1980,36
1981,39
1982,54
1983,53
1984,59
1985,48
1986,48
1987,61
1988,101
1989,94
1990,123
1991,115
1992,124
1993,121
1994,114
1995,132
1996,174
1997,178
1998,153
1999,172
2000,319
2001,250
2002,222
2003,260
2004,255
2005,219
2006,254
2007,232
2008,233
2009,247
2010,198
2011,164
2012,118
