year,Jeanell
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,9
1927,0
1928,0
1929,5
1930,0
1931,9
1932,15
1933,12
1934,7
1935,7
1936,13
1937,7
1938,9
1939,10
1940,9
1941,16
1942,13
1943,12
1944,15
1945,10
1946,12
1947,15
1948,14
1949,16
1950,7
1951,12
1952,18
1953,10
1954,15
1955,19
1956,12
1957,18
1958,16
1959,14
1960,16
1961,21
1962,18
1963,18
1964,16
1965,18
1966,21
1967,20
1968,9
1969,19
1970,16
1971,13
1972,13
1973,12
1974,20
1975,7
1976,14
1977,11
1978,13
1979,22
1980,16
1981,18
1982,11
1983,18
1984,12
1985,12
1986,8
1987,11
1988,10
1989,10
1990,8
1991,0
1992,7
1993,0
1994,7
1995,0
1996,0
1997,5
1998,9
1999,7
2000,6
2001,0
2002,0
2003,0
2004,0
2005,0
2006,6
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
