year,Junior (F),Junior (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000041
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000029
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000023
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000033
1893,0.000000,0.000022
1894,0.000000,0.000000
1895,0.000000,0.000017
1896,0.000000,0.000031
1897,0.000000,0.000023
1898,0.000000,0.000018
1899,0.000000,0.000027
1900,0.000000,0.000033
1901,0.000000,0.000038
1902,0.000000,0.000036
1903,0.000000,0.000024
1904,0.000000,0.000030
1905,0.000000,0.000042
1906,0.000000,0.000042
1907,0.000000,0.000034
1908,0.000000,0.000055
1909,0.000000,0.000039
1910,0.000000,0.000061
1911,0.000000,0.000051
1912,0.000000,0.000057
1913,0.000000,0.000059
1914,0.000000,0.000068
1915,0.000000,0.000081
1916,0.000000,0.000103
1917,0.000000,0.000134
1918,0.000000,0.000179
1919,0.000000,0.000241
1920,0.000004,0.000309
1921,0.000000,0.000376
1922,0.000005,0.000448
1923,0.000005,0.000509
1924,0.000005,0.000627
1925,0.000006,0.000663
1926,0.000006,0.000693
1927,0.000008,0.000684
1928,0.000008,0.000660
1929,0.000006,0.000660
1930,0.000003,0.000595
1931,0.000006,0.000508
1932,0.000007,0.000529
1933,0.000000,0.000411
1934,0.000003,0.000392
1935,0.000002,0.000325
1936,0.000004,0.000307
1937,0.000000,0.000264
1938,0.000003,0.000233
1939,0.000000,0.000211
1940,0.000003,0.000186
1941,0.000000,0.000163
1942,0.000000,0.000152
1943,0.000000,0.000147
1944,0.000000,0.000146
1945,0.000000,0.000151
1946,0.000000,0.000110
1947,0.000000,0.000107
1948,0.000000,0.000095
1949,0.000000,0.000082
1950,0.000000,0.000078
1951,0.000000,0.000073
1952,0.000000,0.000067
1953,0.000000,0.000058
1954,0.000000,0.000066
1955,0.000000,0.000057
1956,0.000000,0.000056
1957,0.000000,0.000058
1958,0.000000,0.000049
1959,0.000000,0.000044
1960,0.000000,0.000049
1961,0.000000,0.000047
1962,0.000000,0.000044
1963,0.000000,0.000040
1964,0.000000,0.000044
1965,0.000000,0.000041
1966,0.000000,0.000039
1967,0.000000,0.000032
1968,0.000000,0.000030
1969,0.000000,0.000039
1970,0.000000,0.000029
1971,0.000000,0.000033
1972,0.000000,0.000027
1973,0.000000,0.000033
1974,0.000000,0.000028
1975,0.000000,0.000026
1976,0.000000,0.000034
1977,0.000000,0.000032
1978,0.000000,0.000026
1979,0.000000,0.000027
1980,0.000000,0.000035
1981,0.000000,0.000031
1982,0.000000,0.000037
1983,0.000000,0.000031
1984,0.000000,0.000029
1985,0.000000,0.000031
1986,0.000000,0.000032
1987,0.000000,0.000037
1988,0.000000,0.000039
1989,0.000000,0.000036
1990,0.000000,0.000038
1991,0.000000,0.000041
1992,0.000000,0.000047
1993,0.000000,0.000045
1994,0.000000,0.000049
1995,0.000001,0.000061
1996,0.000000,0.000057
1997,0.000000,0.000059
1998,0.000000,0.000058
1999,0.000000,0.000056
2000,0.000000,0.000070
2001,0.000000,0.000072
2002,0.000000,0.000083
2003,0.000000,0.000082
2004,0.000000,0.000083
2005,0.000000,0.000096
2006,0.000000,0.000096
2007,0.000000,0.000100
2008,0.000000,0.000097
2009,0.000000,0.000087
2010,0.000000,0.000079
2011,0.000000,0.000077
2012,0.000000,0.000074
