year,Janeth
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,8
1916,0
1917,0
1918,10
1919,5
1920,0
1921,7
1922,5
1923,6
1924,37
1925,13
1926,12
1927,14
1928,5
1929,14
1930,19
1931,15
1932,8
1933,14
1934,6
1935,12
1936,13
1937,16
1938,20
1939,18
1940,17
1941,22
1942,31
1943,28
1944,15
1945,32
1946,15
1947,31
1948,25
1949,19
1950,25
1951,20
1952,23
1953,17
1954,13
1955,18
1956,10
1957,11
1958,7
1959,13
1960,9
1961,9
1962,9
1963,7
1964,11
1965,11
1966,8
1967,12
1968,0
1969,17
1970,12
1971,10
1972,13
1973,8
1974,7
1975,7
1976,10
1977,13
1978,16
1979,13
1980,17
1981,26
1982,18
1983,18
1984,22
1985,22
1986,35
1987,28
1988,36
1989,63
1990,86
1991,105
1992,102
1993,102
1994,82
1995,96
1996,98
1997,110
1998,95
1999,113
2000,128
2001,131
2002,170
2003,175
2004,170
2005,171
2006,170
2007,149
2008,142
2009,106
2010,83
2011,109
2012,95
