year,Janel
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,5
1934,6
1935,29
1936,12
1937,9
1938,9
1939,10
1940,7
1941,16
1942,11
1943,8
1944,13
1945,13
1946,18
1947,41
1948,55
1949,62
1950,73
1951,83
1952,83
1953,79
1954,102
1955,86
1956,87
1957,103
1958,109
1959,109
1960,109
1961,142
1962,120
1963,105
1964,131
1965,105
1966,114
1967,185
1968,252
1969,312
1970,386
1971,429
1972,362
1973,333
1974,310
1975,346
1976,346
1977,387
1978,413
1979,363
1980,402
1981,324
1982,283
1983,234
1984,207
1985,185
1986,231
1987,280
1988,255
1989,244
1990,194
1991,236
1992,223
1993,203
1994,189
1995,161
1996,160
1997,114
1998,130
1999,106
2000,96
2001,101
2002,78
2003,92
2004,78
2005,59
2006,56
2007,57
2008,69
2009,64
2010,43
2011,42
2012,35
