year,Jannifer
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,6
1945,7
1946,11
1947,10
1948,6
1949,16
1950,11
1951,16
1952,9
1953,10
1954,8
1955,13
1956,21
1957,9
1958,14
1959,13
1960,9
1961,27
1962,24
1963,27
1964,17
1965,19
1966,26
1967,13
1968,25
1969,20
1970,22
1971,14
1972,15
1973,21
1974,22
1975,23
1976,26
1977,24
1978,28
1979,24
1980,23
1981,31
1982,21
1983,26
1984,23
1985,23
1986,12
1987,6
1988,18
1989,10
1990,9
1991,9
1992,6
1993,0
1994,11
1995,0
1996,5
1997,6
1998,0
1999,5
2000,0
2001,5
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
