year,Juvenal
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,5
1923,5
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,5
1931,0
1932,0
1933,0
1934,5
1935,0
1936,0
1937,0
1938,0
1939,0
1940,6
1941,8
1942,0
1943,5
1944,0
1945,5
1946,0
1947,0
1948,5
1949,0
1950,7
1951,0
1952,0
1953,5
1954,11
1955,7
1956,0
1957,0
1958,7
1959,6
1960,8
1961,8
1962,10
1963,0
1964,5
1965,8
1966,8
1967,6
1968,6
1969,8
1970,6
1971,6
1972,9
1973,9
1974,7
1975,15
1976,19
1977,13
1978,15
1979,17
1980,20
1981,19
1982,15
1983,14
1984,16
1985,16
1986,27
1987,20
1988,25
1989,25
1990,39
1991,44
1992,39
1993,31
1994,36
1995,35
1996,29
1997,32
1998,27
1999,37
2000,21
2001,36
2002,22
2003,27
2004,28
2005,27
2006,27
2007,17
2008,16
2009,21
2010,21
2011,12
2012,14
