year,Jannette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,5
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,5
1907,0
1908,0
1909,0
1910,5
1911,0
1912,0
1913,6
1914,15
1915,11
1916,17
1917,16
1918,14
1919,16
1920,15
1921,13
1922,8
1923,17
1924,25
1925,13
1926,14
1927,20
1928,17
1929,15
1930,17
1931,31
1932,28
1933,28
1934,24
1935,36
1936,37
1937,42
1938,49
1939,54
1940,43
1941,54
1942,60
1943,67
1944,63
1945,58
1946,69
1947,87
1948,72
1949,83
1950,88
1951,103
1952,73
1953,88
1954,103
1955,103
1956,112
1957,103
1958,104
1959,84
1960,120
1961,82
1962,120
1963,95
1964,88
1965,77
1966,79
1967,84
1968,72
1969,88
1970,71
1971,81
1972,55
1973,80
1974,63
1975,62
1976,46
1977,56
1978,59
1979,79
1980,57
1981,67
1982,59
1983,56
1984,48
1985,50
1986,73
1987,76
1988,67
1989,66
1990,66
1991,103
1992,69
1993,51
1994,40
1995,36
1996,37
1997,35
1998,27
1999,23
2000,25
2001,25
2002,33
2003,27
2004,23
2005,24
2006,20
2007,13
2008,21
2009,17
2010,14
2011,14
2012,6
