year,Jr
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,7
1916,0
1917,8
1918,9
1919,10
1920,13
1921,12
1922,16
1923,11
1924,16
1925,30
1926,19
1927,31
1928,21
1929,21
1930,21
1931,18
1932,10
1933,10
1934,9
1935,7
1936,5
1937,10
1938,10
1939,10
1940,14
1941,0
1942,9
1943,7
1944,6
1945,0
1946,6
1947,0
1948,5
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,7
1963,9
1964,10
1965,9
1966,8
1967,10
1968,8
1969,6
1970,9
1971,10
1972,7
1973,8
1974,6
1975,5
1976,8
1977,7
1978,19
1979,31
1980,30
1981,22
1982,22
1983,8
1984,20
1985,14
1986,16
1987,17
1988,22
1989,43
1990,23
1991,23
1992,26
1993,15
1994,25
1995,21
1996,22
1997,17
1998,19
1999,25
2000,30
2001,26
2002,33
2003,33
2004,34
2005,34
2006,33
2007,34
2008,28
2009,26
2010,28
2011,23
2012,26
