year,Jarrett (F),Jarrett (M)
1880,0.000000,0.000030
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000025
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000018
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000005
1914,0.000000,0.000007
1915,0.000000,0.000006
1916,0.000000,0.000005
1917,0.000000,0.000003
1918,0.000000,0.000004
1919,0.000000,0.000006
1920,0.000000,0.000003
1921,0.000000,0.000006
1922,0.000000,0.000007
1923,0.000000,0.000005
1924,0.000000,0.000006
1925,0.000000,0.000006
1926,0.000000,0.000004
1927,0.000000,0.000006
1928,0.000000,0.000004
1929,0.000000,0.000005
1930,0.000000,0.000005
1931,0.000000,0.000005
1932,0.000000,0.000005
1933,0.000000,0.000005
1934,0.000000,0.000005
1935,0.000000,0.000005
1936,0.000000,0.000007
1937,0.000000,0.000009
1938,0.000000,0.000005
1939,0.000000,0.000008
1940,0.000000,0.000005
1941,0.000000,0.000007
1942,0.000000,0.000007
1943,0.000000,0.000008
1944,0.000000,0.000008
1945,0.000000,0.000008
1946,0.000000,0.000007
1947,0.000000,0.000007
1948,0.000000,0.000006
1949,0.000000,0.000008
1950,0.000000,0.000007
1951,0.000000,0.000006
1952,0.000000,0.000009
1953,0.000000,0.000007
1954,0.000000,0.000006
1955,0.000000,0.000006
1956,0.000000,0.000006
1957,0.000000,0.000004
1958,0.000000,0.000003
1959,0.000000,0.000005
1960,0.000000,0.000005
1961,0.000000,0.000006
1962,0.000000,0.000007
1963,0.000000,0.000005
1964,0.000000,0.000008
1965,0.000000,0.000010
1966,0.000000,0.000020
1967,0.000000,0.000026
1968,0.000000,0.000037
1969,0.000000,0.000050
1970,0.000000,0.000050
1971,0.000000,0.000058
1972,0.000000,0.000059
1973,0.000000,0.000087
1974,0.000000,0.000082
1975,0.000000,0.000078
1976,0.000002,0.000085
1977,0.000002,0.000084
1978,0.000002,0.000105
1979,0.000000,0.000108
1980,0.000000,0.000115
1981,0.000000,0.000141
1982,0.000000,0.000128
1983,0.000002,0.000125
1984,0.000003,0.000119
1985,0.000003,0.000135
1986,0.000003,0.000149
1987,0.000002,0.000152
1988,0.000000,0.000146
1989,0.000000,0.000166
1990,0.000000,0.000154
1991,0.000000,0.000146
1992,0.000000,0.000129
1993,0.000000,0.000159
1994,0.000000,0.000151
1995,0.000000,0.000153
1996,0.000002,0.000174
1997,0.000000,0.000245
1998,0.000000,0.000277
1999,0.000002,0.000259
2000,0.000001,0.000266
2001,0.000000,0.000219
2002,0.000001,0.000187
2003,0.000000,0.000162
2004,0.000000,0.000121
2005,0.000000,0.000104
2006,0.000000,0.000087
2007,0.000000,0.000081
2008,0.000000,0.000059
2009,0.000000,0.000059
2010,0.000000,0.000048
2011,0.000000,0.000050
2012,0.000000,0.000055
2013,0.000000,0.000039
2014,0.000000,0.000052
2015,0.000000,0.000045
2016,0.000000,0.000035
2017,0.000000,0.000040
2018,0.000000,0.000031
2019,0.000000,0.000038
2020,0.000000,0.000033
